triggerDesc,actionDesc,freeOrLocked
IF weather condition change,", THEN changes the color of lights [ACTION_Y].",LOCKED
IF sunset approaching,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF motion detected,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
IF area exited,", THEN turns off smart lights [ACTION_W].",LOCKED
IF lock unlocked by user,", THEN turns on smart lights [ACTION_X].",LOCKED
IF an audio event is detected,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
IF door opened,", THEN activates a lighting scene in [ACTION_X].",LOCKED
IF alexa custom phrase,", THEN turns off smart lights [ACTION_W].",LOCKED
IF alexa custom phrase,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF weekly schedule,", THEN activates a lighting scene [ACTION_Y].",LOCKED
IF a voice keyword is detected,", THEN turns off smart lights [ACTION_W].",LOCKED
IF temperature exceeds a threshold,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF weekly schedule,", THEN adjusts the brightness of lights [ACTION_W].",LOCKED
IF sunset approaching,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF alexa custom phrase,", THEN turns off smart lights [ACTION_W].",LOCKED
IF sunset approaching,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF door is unlocked,", THEN turns on smart lights in [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when your ewelink support 1-channel switch is turned on or off.,", THEN turns off smart lights [ACTION_W].",LOCKED
IF weather condition change,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF sunset approaching,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF new playlist track,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF weekly schedule,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF doorbell motion,", THEN turns on a light switch [ACTION_Y].",LOCKED
IF sunset approaching,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF sunset approaching,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF an audio event is detected,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF sunset approaching,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF alarm triggered,", THEN turns on smart lights [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time the thermostat you specify is set to a certain heating mode.,", THEN turns off smart lights [ACTION_W].",LOCKED
IF weather condition change,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF Facebook status is posted,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF order is out for delivery,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
IF dryer finished,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF co2 high,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF alexa custom phrase,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF ifttt email trigger,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF alexa custom phrase,", THEN activates a lighting scene [ACTION_Y].",LOCKED
IF wifi connected,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF daily schedule,", THEN turns off smart lights [ACTION_W].",LOCKED
IF alexa custom phrase,", THEN toggles the lights on or off [ACTION_Y].",LOCKED
IF daily schedule,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF prayer time occurs,", THEN sets lights to a predefined scene [ACTION_Z].",LOCKED
IF sunset approaching,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF tweet with hashtag,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF lock locked by user,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF apilio event,", THEN switches off the lights [ACTION_W].",LOCKED
__UNMATCHED_TRIGGER__ this trigger is fired from the assigned pusher on your festina watch.,", THEN toggles lights based on current state in [ACTION_X].",LOCKED
IF area exited,", THEN turns off smart lights [ACTION_W].",LOCKED
IF weather condition change,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when time-of-day peak rates start or end.,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF weekly schedule,", THEN adjusts the brightness of lights [ACTION_W].",LOCKED
IF new public video is posted,", THEN adjusts the brightness of lights [ACTION_Z].",LOCKED
IF co2 high,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF alexa custom phrase,", THEN changes the color of lights [ACTION_Y].",LOCKED
IF temperature falls below a threshold,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF weekly schedule,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF weekly schedule,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF area entered,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF daily schedule,", THEN turns off smart lights [ACTION_W].",LOCKED
IF motion is detected,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF area entered,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF family arrived,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF generic button press,", THEN turns off the light [ACTION_W].",LOCKED
IF weekly schedule,", THEN turns on smart lights [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger monitors changes in your thermostat's measured temperature and fires if it exceeds a certain threshold.,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF weekly schedule,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF sunset approaching,", THEN turns on the light [ACTION_Y].",LOCKED
IF superchat received,", THEN sets lights to a predefined scene [ACTION_Z].",LOCKED
IF daily schedule,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF wemo motion detected,", THEN turns on a light switch [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when the price of electricity changes.,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF WeMo light is turned on,", THEN toggles the lights on or off [ACTION_Y].",LOCKED
IF yearly schedule,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF calendar event is upcoming,", THEN toggles the lights on or off [ACTION_Y].",LOCKED
IF google assistant phrase,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF contact closes,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
"__UNMATCHED_TRIGGER__ this trigger fires every time a song is played on amazon prime music. note: this trigger does not apply to songs provided by spotify, pandora, podcasts and sample clips.",", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF sunset approaching,", THEN adjusts the brightness of lights [ACTION_W].",LOCKED
IF wemo motion detected,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF daily schedule,", THEN activates a lighting scene in [ACTION_X].",LOCKED
IF quarter hour,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF alexa custom phrase,", THEN turns off smart lights [ACTION_W].",LOCKED
IF sunset approaching,", THEN toggles the lights on or off [ACTION_Y].",LOCKED
IF alexa custom phrase,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF weather condition change,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF device connects to router,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF quarter hour,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF prayer time occurs,", THEN activates a lighting scene [ACTION_Y].",LOCKED
IF daily schedule,", THEN toggles the projector LED light [ACTION_Z].",LOCKED
IF weekly schedule,", THEN adjusts the brightness of lights [ACTION_Z].",LOCKED
"__UNMATCHED_TRIGGER__ this trigger fires every time a song is played on amazon prime music. note: this trigger does not apply to songs provided by spotify, pandora, podcasts and sample clips.",", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time you add an item to your to do list.,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF meeting ends,", THEN activates a lighting scene [ACTION_Y].",LOCKED
IF alexa custom phrase,", THEN sets the brightness level of smart lights [ACTION_Z].",LOCKED
IF WeMo light is turned on,", THEN toggles the lights on or off [ACTION_Y].",LOCKED
IF home away mode,", THEN turns off smart lights [ACTION_W].",LOCKED
IF alexa custom phrase,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF weekly schedule,", THEN turns on smart lights in [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time when your alarm panel is armed,", THEN turns off smart lights [ACTION_W].",LOCKED
IF superchat received,", THEN adjusts the brightness of lights [ACTION_Z].",LOCKED
IF daily schedule,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
IF daily schedule,", THEN turns off smart lights [ACTION_W].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time there is a new survey response for the survey you specify.,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF google assistant phrase,", THEN turns off smart lights [ACTION_W].",LOCKED
IF tweet with hashtag,", THEN turns off smart lights [ACTION_W].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time you are tagged you in a new photo. note: facebook privacy settings may block ifttt’s access to some photos you are tagged in.,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time the nest protect you specify detects dangerous smoke levels.,", THEN turns on smart lights in [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time the wind speed rises above a value you specify.,", THEN turns on smart lights in [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when my total connect security panel receives an alarm,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF calendar event is upcoming,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF WeMo light is turned off,", THEN turns off smart lights [ACTION_W].",LOCKED
IF alexa custom phrase,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF alexa custom phrase,", THEN turns off smart lights [ACTION_W].",LOCKED
IF weather condition change,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF daily schedule,", THEN turns on smart lights [ACTION_X].",LOCKED
IF google assistant phrase,", THEN activates a lighting scene [ACTION_Y].",LOCKED
IF ihome button,", THEN turns on smart lights [ACTION_X].",LOCKED
IF alexa custom phrase,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF WeMo light is turned on,", THEN toggles the lights on or off [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time the you ask alexa what's on your shopping list.,", THEN toggles lights based on current state in [ACTION_X].",LOCKED
IF google assistant phrase,", THEN turns off smart lights [ACTION_W].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time you add an item to your to do list.,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF sunrise approaching,", THEN turns off smart lights [ACTION_W].",LOCKED
IF alexa custom phrase,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF renewable energy change,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF daily schedule,", THEN turns on a light switch [ACTION_Y].",LOCKED
IF weather condition change,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when there is a new membership for your channel.,", THEN adjusts the brightness of lights [ACTION_Z].",LOCKED
IF daily schedule,", THEN turns on smart lights in [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time your timer goes off.,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF WeMo light is turned off,", THEN turns off a light switch [ACTION_W].",LOCKED
IF generic button press,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time your timer goes off.,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time you are tagged you in a new photo. note: facebook privacy settings may block ifttt’s access to some photos you are tagged in.,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF calendar event is upcoming,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when a routine is activated.,", THEN turns off smart lights [ACTION_W].",LOCKED
IF Facebook status is posted,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF generic button press,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when tado⁠° switches to home mode.,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF google assistant phrase,", THEN toggles the lights on or off [ACTION_Y].",LOCKED
IF alexa custom phrase,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF noise threshold exceeded,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF home home mode,", THEN adjusts the brightness of lights [ACTION_W].",LOCKED
IF alarm triggered,", THEN adjusts the brightness of lights [ACTION_W].",LOCKED
IF google assistant phrase,", THEN turns off smart lights [ACTION_W].",LOCKED
IF weekly schedule,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
"__UNMATCHED_TRIGGER__ this trigger fires every time your air purifier registers an air quality you specify (poor, moderate, good).",", THEN turns on smart lights in [ACTION_X].",LOCKED
IF daily schedule,", THEN turns off smart lights [ACTION_W].",LOCKED
IF co2 high,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF sunset approaching,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF google assistant phrase,", THEN turns on smart lights [ACTION_X].",LOCKED
IF alexa custom phrase,", THEN adjusts the brightness of lights [ACTION_W].",LOCKED
IF generic button press,", THEN turns off a light switch [ACTION_W].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time the temperature at your weatherflow tempest station drops below a value that you select.,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF WeMo Insight is turned on,", THEN turns on smart lights in [ACTION_X].",LOCKED
"__UNMATCHED_TRIGGER__ this trigger retrieves tomorrow's weather report within 5 minutes of the time you specify, depending on when forecast data is updated.",", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF instagram post,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF superchat received,", THEN sets lights to a predefined scene [ACTION_Z].",LOCKED
IF daily schedule,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF alexa custom phrase,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF door opened,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
IF google assistant phrase,", THEN turns off smart lights [ACTION_W].",LOCKED
IF generic button press,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF daily schedule,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF battery is low,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when there is a new membership for your channel.,", THEN adjusts the brightness of lights [ACTION_Z].",LOCKED
IF Facebook status is posted,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF alarm triggered,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
IF renewable energy change,", THEN changes the color of lights [ACTION_Y].",LOCKED
IF new public video is posted,", THEN sets lights to a predefined scene [ACTION_Z].",LOCKED
IF alexa custom phrase,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF alexa custom phrase,", THEN changes the color of lights [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time your netatmo rain gauge detects that it is raining.,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF doorbell motion,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF lock unlocked,", THEN turns on smart lights [ACTION_X].",LOCKED
IF door opened,", THEN activates a lighting scene in [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time a new item in the feed you specify contains a particular keyword or simple phrase.,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF daily schedule,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time it is christmas in the time zone you specify.,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when your order is being quality-checked.,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF sunset approaching,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF apilio event,", THEN turns off smart lights [ACTION_W].",LOCKED
IF generic button press,", THEN adjusts the brightness of lights [ACTION_Z].",LOCKED
IF alexa custom phrase,", THEN changes the color of lights [ACTION_Y].",LOCKED
IF sunset approaching,", THEN turns on a light switch [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time a new user starts following you.,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF alexa custom phrase,", THEN changes the color of lights [ACTION_Y].",LOCKED
IF weekly schedule,", THEN turns on smart lights [ACTION_X].",LOCKED
IF doorbell motion,", THEN turns on a light switch [ACTION_Y].",LOCKED
IF a YouTube video is liked,", THEN adjusts the brightness of lights [ACTION_Z].",LOCKED
IF meeting ends,", THEN activates a lighting scene [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time your wemo switch is turned on.,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF google assistant phrase,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF alexa custom phrase,", THEN changes the color of lights [ACTION_Y].",LOCKED
IF spotify save track,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when there is a new membership for your channel.,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when a mode is armed.,", THEN turns off smart lights [ACTION_W].",LOCKED
IF weekly schedule,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF alarm triggered,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
IF daily schedule,", THEN turns off smart lights [ACTION_W].",LOCKED
IF meeting starts,", THEN activates a lighting scene [ACTION_Y].",LOCKED
IF area entered,", THEN turns on smart lights [ACTION_X].",LOCKED
IF sunset approaching,", THEN turns on smart lights in [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when the alarm for a specific mode is triggered.,", THEN toggles the lights on or off [ACTION_Y].",LOCKED
IF alexa custom phrase,", THEN activates a lighting scene in [ACTION_X].",LOCKED
IF daily schedule,", THEN turns on smart lights [ACTION_X].",LOCKED
IF doorbell motion,", THEN activates a lighting scene [ACTION_Y].",LOCKED
IF daily schedule,", THEN turns on smart lights [ACTION_X].",LOCKED
IF daily schedule,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF sunrise approaching,", THEN turns off a light switch [ACTION_W].",LOCKED
IF generic button press,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF area entered,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF new public video is posted,", THEN adjusts the brightness of lights [ACTION_Z].",LOCKED
IF area exited,", THEN turns off a light switch [ACTION_W].",LOCKED
IF alexa custom phrase,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when the alarm for a specific mode is triggered.,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time somebody rings your ring doorbell.,", THEN adjusts the brightness of lights [ACTION_Z].",LOCKED
IF wifi disconnected,", THEN turns off smart lights [ACTION_W].",LOCKED
IF air quality is low,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF google assistant phrase,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF ihome button,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF daily schedule,", THEN turns on smart lights in [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time a group decision or direct action has been taken,", THEN turns off smart lights [ACTION_W].",LOCKED
IF google assistant phrase,", THEN activates a lighting scene [ACTION_Y].",LOCKED
IF order is out for delivery,", THEN turns on smart lights [ACTION_X].",LOCKED
IF door locked,", THEN turns on smart lights in [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when any user sends the /ifttt command to the source group.,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF area exited,", THEN turns off smart lights [ACTION_W].",LOCKED
IF sms received,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
IF area exited,", THEN toggles the lights on or off [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time your wemo light switches off.,", THEN turns off the hood lighting [ACTION_W].",LOCKED
IF sunrise approaching,", THEN turns off smart lights [ACTION_W].",LOCKED
IF google assistant phrase,", THEN activates a lighting scene [ACTION_Y].",LOCKED
IF sunset approaching,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF weekly schedule,", THEN turns on smart lights [ACTION_X].",LOCKED
IF co2 low,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
IF Arlo detects motion,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF temperature falls below a threshold,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
IF weekly schedule,", THEN turns off smart lights [ACTION_W].",LOCKED
