id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory,originalTrigger,originalAction
B9aH4hNZ,Date & Time,Every day at,IF every day at a specified time,Home Connect Dishwasher,Start program,", THEN start the dishwasher [ACTION_Y].",Appliance,This Trigger fires every single day at a specific time set by you.,This action will start the selected dishwasher program.
BP4wBtDu,iHaus smoke detector,Smoke alarm,IF a smoke detector detects smoke,Home Connect Oven,Turn off oven,", THEN turn off then oven [ACTION_W].",Appliance,The trigger fires when your smoke detector detects a smoke alarm.,This action will turn off your oven.
BPjvpQ6N,Nest Protect,Smoke alarm emergency,IF a smoke detector detects smoke,Home Connect Oven,Turn off oven,", THEN turn off then oven [ACTION_W].",Appliance,This Trigger fires every time the Nest Protect you specify detects dangerous smoke levels.,This action will turn off your oven.
Bt8HQfDT,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Hood,Turn off hood,", THEN turn off the hood [ACTION_W].",Appliance,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will turn off your hood.
C4UzAauC,Location,You exit an area,IF the user exits a specified area,Home Connect Coffee Machine,Turn off coffee machine,", THEN turn off a coffee machine [ACTION_W].",Appliance,This Trigger fires every time you exit an area you specify.,This action will turn off your coffee machine.
CPAhvC7m,Date & Time,Every day at,IF every day at a specified time,Home Connect Coffee Machine,Turn on coffee machine,", THEN turn on the coffee machine [ACTION_Y].",Appliance,This Trigger fires every single day at a specific time set by you.,This action will turn on your coffee machine.
CdyaqQPX,Vimar VIEW,Exchanged Power single phase,IF power usage satisfies a threshold condition,Home Connect Dishwasher,Turn on dishwasher,", THEN turn on the dishwasher in [ACTION_X].",Appliance,This trigger fires when the exchanged power satisfies a condition with a threshold ,This action will turn on your dishwasher.
DAJUBR7F,Niko Home Control,Device turned on,IF a device is turned on [FREE],Home Connect Dishwasher,Start program,", THEN start the dishwasher [ACTION_Y].",Appliance,Device turned on,This action will start the selected dishwasher program.
EGSwHEVs,Telegram,New message with key phrase to @IFTTT,IF a message containing a key phrase is sent [FREE],Home Connect Oven,Preheat oven,", THEN preheat the oven using the hot air program with fast preheat [ACTION_Y].",Appliance,This trigger fires when you send a text message with a key phrase to the @IFTTT bot on Telegram.,This action will preheat your oven using the hot air program with the fast preheat option.
Et2EjePp,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Coffee Machine,Turn off coffee machine,", THEN turn off a coffee machine [ACTION_W].",Appliance,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This action will turn off your coffee machine.
FB375Jkq,AL-KO Smart Garden,Smart lawnmower button press once,IF a button is pressed [FREE],Home Connect Coffee Machine,Start coffee program,", THEN start the coffee with the specified program [ACTION_Y].",Appliance,when the smart button of the lawnmower has pressed once,This action will start the selected coffee program with your preferred settings.
FDiWNuyU,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Coffee Machine,Start coffee world program,", THEN start the coffee with the specified program [ACTION_Y].",Appliance,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This action will start the selected coffee world program with your preferred settings.
FG57bgSm,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Coffee Machine,Start coffee program,", THEN start the coffee with the specified program [ACTION_Y].",Appliance,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This action will start the selected coffee program with your preferred settings.
FyGHvxUT,Button widget,Button press,IF a button is pressed [FREE],Home Connect Oven,Preheat oven,", THEN preheat the oven using the hot air program with fast preheat [ACTION_Y].",Appliance,This trigger fires every time you press the button.,This action will preheat your oven using the hot air program with the fast preheat option.
GT6V7Kkn,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Dishwasher,Start program,", THEN start the dishwasher [ACTION_Y].",Appliance,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This action will start the selected dishwasher program.
GTM4CEKX,Weather Underground,Sunrise,IF it is sunrise,Home Connect Coffee Machine,Turn on coffee machine,", THEN turn on the coffee machine [ACTION_Y].",Appliance,This Trigger fires within 15 minutes of the sunrise in your location.,This action will turn on your coffee machine.
JaYLqcTH,Location,You exit an area,IF the user exits a specified area,Home Connect Oven,Turn off oven,", THEN turn off then oven [ACTION_W].",Appliance,This Trigger fires every time you exit an area you specify.,This action will turn off your oven.
KasQZcLz,True Energy Smart Home Denmark,Electricity in Denmark is Cheap,IF electricity prices are low ,Home Connect Dishwasher,Turn on dishwasher,", THEN turn on the dishwasher in [ACTION_X].",Appliance,This trigger fires at the hours where electricity in Denmark is cheap.,This action will turn on your dishwasher.
LW9vRbTi,True Energy Smart Home Denmark,Electricity in Denmark is Cheap,IF electricity prices are low ,Home Connect Dishwasher,Turn on dishwasher,", THEN turn on the dishwasher in [ACTION_X].",Appliance,This trigger fires at the hours where electricity in Denmark is cheap.,This action will turn on your dishwasher.
Lw5WFKyZ,Home Connect Cookit,Cookit finished,IF a smart cooking device finishes successfully,Home Connect Hood,Turn off hood,", THEN turn off the hood [ACTION_W].",Appliance,This trigger fires every time your Cookit has finished successfully.,This action will turn off your hood.
