triggerDesc,actionDesc
IF the user enters a specified area,", THEN sets the thermostat temperature for a specific amount of time."
IF the user enters a specified area,", THEN sets the thermostat temperature for a while."
IF the user enters a specified area,", THEN sets the thermostat temperature for the entire day."
IF the user enters a specified area,", THEN sets the thermostat temperature for a limited time."
IF the user enters a specified area,", THEN sets the thermostat temperature until stopped."
IF the user enters a specified area,", THEN sets the thermostat temperature indefinitely."
IF the user enters a specified area,", THEN sets the thermostat temperature temporarily."
IF the user enters a specified area,", THEN sets the thermostat temperature until manually changed."
IF the user enters a specified area,", THEN sets the thermostat temperature continuously."
IF the user enters a specified area,", THEN turns on the air conditioner at low value."
IF the user enters a specified area,", THEN turns on the air conditioner at medium value."
IF the user enters a specified area,", THEN turns on the air conditioner at maximum value."
IF the user enters a specified area,", THEN turns on the air conditioner at minimum value ."
IF the user enters a specified area,", THEN turns on the air conditioner at default value."
IF the user enters a specified area,", THEN turns on the air conditioner at high value."
IF the user enters a specified area,", THEN turns on the air conditioner to power saving mode."
IF the user enters a specified area,", THEN turns on the air conditioner at moderate value."
IF the user enters a specified area,", THEN turns on the air conditioner at boosted value."
IF the user enters a specified area,", THEN restores default heating schedule at low value."
IF the user enters a specified area,", THEN restores default heating schedule at medium value."
IF the user enters a specified area,", THEN restores default heating schedule at maximum value."
IF the user enters a specified area,", THEN restores default heating schedule at minimum value ."
IF the user enters a specified area,", THEN restores default heating schedule at default value."
IF the user enters a specified area,", THEN restores default heating schedule at high value."
IF the user enters a specified area,", THEN restores default heating schedule to power saving mode."
IF the user enters a specified area,", THEN restores default heating schedule at moderate value."
IF the user enters a specified area,", THEN restores default heating schedule at boosted value."
IF the user enters a specified area,", THEN boosts heating for a specific amount of time."
IF the user enters a specified area,", THEN boosts heating for a while."
IF the user enters a specified area,", THEN boosts heating for the entire day."
IF the user enters a specified area,", THEN boosts heating for a limited time."
IF the user enters a specified area,", THEN boosts heating until stopped."
IF the user enters a specified area,", THEN boosts heating indefinitely."
IF the user enters a specified area,", THEN boosts heating temporarily."
IF the user enters a specified area,", THEN boosts heating until manually changed."
IF the user enters a specified area,", THEN boosts heating continuously."
IF the user enters a specified area,", THEN configures thermostat fan mode at low value."
IF the user enters a specified area,", THEN configures thermostat fan mode at medium value."
IF the user enters a specified area,", THEN configures thermostat fan mode at maximum value."
IF the user enters a specified area,", THEN configures thermostat fan mode at minimum value ."
IF the user enters a specified area,", THEN configures thermostat fan mode at default value."
IF the user enters a specified area,", THEN configures thermostat fan mode at high value."
IF the user enters a specified area,", THEN configures thermostat fan mode to power saving mode."
IF the user enters a specified area,", THEN configures thermostat fan mode at moderate value."
IF the user enters a specified area,", THEN configures thermostat fan mode at boosted value."
IF the user enters a specified area,", THEN sets the temperature at low value on thermostat."
IF the user enters a specified area,", THEN sets the temperature at medium value on thermostat."
IF the user enters a specified area,", THEN sets the temperature at maximum value on thermostat."
IF the user enters a specified area,", THEN sets the temperature at minimum value  on thermostat."
IF the user enters a specified area,", THEN sets the temperature at default value on thermostat."
IF the user enters a specified area,", THEN sets the temperature at high value on thermostat."
IF the user enters a specified area,", THEN sets the temperature to power saving mode on thermostat."
IF the user enters a specified area,", THEN sets the temperature at moderate value on thermostat."
IF the user enters a specified area,", THEN sets the temperature at boosted value on thermostat."
IF the user enters a specified area,", THEN resumes the programmed schedule for a specific amount of time."
IF the user enters a specified area,", THEN resumes the programmed schedule for a while."
IF the user enters a specified area,", THEN resumes the programmed schedule for the entire day."
IF the user enters a specified area,", THEN resumes the programmed schedule for a limited time."
IF the user enters a specified area,", THEN resumes the programmed schedule until stopped."
IF the user enters a specified area,", THEN resumes the programmed schedule indefinitely."
IF the user enters a specified area,", THEN resumes the programmed schedule temporarily."
IF the user enters a specified area,", THEN resumes the programmed schedule until manually changed."
IF the user enters a specified area,", THEN resumes the programmed schedule continuously."
IF the user enters a specified area,", THEN sets heating mode at low value."
IF the user enters a specified area,", THEN sets heating mode at medium value."
IF the user enters a specified area,", THEN sets heating mode at maximum value."
IF the user enters a specified area,", THEN sets heating mode at minimum value ."
IF the user enters a specified area,", THEN sets heating mode at default value."
IF the user enters a specified area,", THEN sets heating mode at high value."
IF the user enters a specified area,", THEN sets heating mode to power saving mode."
IF the user enters a specified area,", THEN sets heating mode at moderate value."
IF the user enters a specified area,", THEN sets heating mode at boosted value."
IF the user enters a specified area,", THEN cancels the current thermostat event after a specified amount of time."
IF the user enters a specified area,", THEN cancels the current thermostat event after a while."
IF the user enters a specified area,", THEN cancels the current thermostat event after a large amount of time."
IF the user enters a specified area,", THEN cancels the current thermostat event after a fixed delay."
