id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory
A5zLvJwg,Location,You enter an area,This Trigger fires every time you enter an area you specify.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
A6qvcEi8,Apilio,Receive an event from Apilio,This trigger fires every time IFTTT receives a specific event from Apilio.,Heatmiser,Cancel Standby Mode,This Action will cancel Standby Mode on the selected Heatmiser Thermostat.,Thermostat/Heating
ACRXkehA,Weather Underground,Current temperature drops below,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,GE Appliances Window AC,Set target temperature,This Action will set a target temperature on your window ac unit.,Thermostat/Heating
AMHujS7k,Location,You exit an area,This Trigger fires every time you exit an area you specify.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
AMzRw3YF,Eight,Day and night mode,This Trigger fires when you tap the 'Night mode' or 'Day mode' buttons in the Eight App.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
APtHWngD,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",ecobee,Set thermostat indefinite hold,This action will set the thermostat into an indefinite hold with the specified temperature.,Thermostat/Heating
AUEDFzH4,Amazon Alexa,Item added to your To Do List,This Trigger fires every time you add an item to your To Do List.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
AUVqwjZt,Date & Time,Every hour at,"This Trigger fires once an hour at :00, :15, :30, or :45 minutes past the hour.",Hive Active Heating™ - UK and Europe,Set the thermostat to schedule,This Action will set the heating mode to schedule.,Thermostat/Heating
AY5hUui7,Weather Underground,Current temperature drops below,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Hive Active Heating™ - UK and Europe,Boost heating ,This Action will boost heating to the temperature and duration you specify.,Thermostat/Heating
AaMRsLhZ,Date & Time,Every day of the week at,This Trigger fires only on specific days of the week at the time you provide.,Nature Remo,Turn on air conditioner,"This action will turn on your air conditioner and set target temperature, AC operation mode and air volume settings.

Note: Please use the Control Home Appliances actions for the button registered by learning mode.",Thermostat/Heating
AeqA6Ssi,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
AwSzLFDe,Nest Thermostat,Temperature drops below,This Trigger fires every time the temperature drops below a threshold you specify.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
B2CaBPvu,Google Assistant,Say a phrase with both a number and a text ingredient,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Block time for ‘exercise’ at 6 PM.” **Use the # symbol to specify where you'll say the number ingredient and $ where you'll say the text ingredient,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
BAdrChei,Location,You enter an area,This Trigger fires every time you enter an area you specify.,Sensibo,Turn A/C on,"Turn your A/C on with a set temperature, mode and fan level.",Thermostat/Heating
BGV9ghui,Google Calendar,Event from search starts,"This Trigger fires a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location. Ingredient will be based on the zone set in Google.",ThermoSmart,Set temperature,This Action will set your ThermoSmart to the temperature you specify.,Thermostat/Heating
BGZc2AQk,Notion,"Window opens, closes or moves","This trigger fires when a window opens, closes, or moves.",ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
BL6DyHY8,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,BDR Thermea Group,Set temperature,This action will set the temperature on the thermostat.,Thermostat/Heating
BSF67wQq,Google Assistant,Say a phrase with a text ingredient,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score.’” **Use the $ symbol to specify where you'll say the text ingredient,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
BT6kMW8C,Location,You exit an area,This Trigger fires every time you exit an area you specify.,nVent Nuheat Signature Thermostat,Set thermostat mode,This action will set the thermostat mode.,Thermostat/Heating
BTvxVG2i,Location,You enter an area,This Trigger fires every time you enter an area you specify.,Netatmo Thermostat,Go back to schedule,This Action will order your home to go back to default schedule.,Thermostat/Heating
BX8yCJEn,Apilio,Receive an event from Apilio,This trigger fires every time IFTTT receives a specific event from Apilio.,Heatmiser,Set Standby Mode,This Action will activate Standby Mode on the selected Heatmiser Thermostat.,Thermostat/Heating
BXKRUZn2,Button widget,Button press,This trigger fires every time you press the button.,Netatmo Thermostat,Set to manual mode,This Action will set your thermostat to manual mode.,Thermostat/Heating
BYMsZmDh,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Honeywell Total Connect Comfort,Set temperature for a period of time,This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.,Thermostat/Heating
Bh3sTGaP,Nest Thermostat,Temperature drops below,This Trigger fires every time the temperature drops below a threshold you specify.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
BtQe5y86,Agile Octopus,Energy price threshold change for duration,Use this trigger to fire something when your electricity price stays above (or below) your set threshold for a minimum length of time in 30-minute blocks.,Hive Active Heating™ - UK and Europe,Boost hot water,This Action will boost your hot water for 1 hour.,Thermostat/Heating
BwD7MRbi,Date & Time,Every hour at,"This Trigger fires once an hour at :00, :15, :30, or :45 minutes past the hour.",Honeywell Total Connect Comfort,Set fan to on or auto,This Action will set the Honeywell thermostat fan to On where the fan is always on or Auto where the fan runs only when the heating or cooling system is on.,Thermostat/Heating
BxeTHNUZ,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Honeywell Total Connect Comfort,Set temperature for a period of time,This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.,Thermostat/Heating
ByTN2Veu,Somfy Protect,System is armed,This Trigger fires every time your Myfox Security system is armed.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
C4hCGRqW,Notion,Temperature crosses a threshold,This trigger fires when the current temperature goes above or below your set temperature thresholds.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
CEKiNjSA,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,GE Appliances GeoSpring™,Set temperature,This Action will set the temperature of your GE water heater.,Thermostat/Heating
CEpvXNuQ,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
CGK3ui4b,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Honeywell Total Connect Comfort,Set temperature for a period of time,This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.,Thermostat/Heating
