id,triggerDesc,actionDesc
1DW5W8I_,WHEN global air pollution is higher than 50,", THEN turn a wemo switch on"
3YTfci83,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights"
5WNCtNZz,WHEN every time a motion event is detected,", THEN make your lights quickly blink the color of your choice"
6HyirEwt,WHEN every time you exit an area you specify,", THEN turn off your hue lights"
8gGhZ9wx,WHEN every time your lock is unlocked by a specific person,", THEN turn your lights on"
9EW9URq7,WHEN every time an audio event is detected,", THEN make your lights quickly blink the color of your choice"
A2DB4FNG,WHEN a door is opened,", THEN adjust multiple lights and shades together by activating a scene created in the lutron app"
A2ZKRg8b,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
A2u683DJ,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
A38DaCHK,WHEN a selected member arrives,", THEN set your aura to guardian scene"
A38TqjpD,WHEN every time you exit an area you specify,", THEN start your robot"
A3fZ6aAT,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn off your hue lights"
A3g4ekb6,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn on a slow color loop effect for your hue lights"
A3q48iQs,WHEN only on specific days of the week at the time you provide,", THEN set a scene on your hue lights"
A3xtz2KY,WHEN every time you or someone in your Orion group says a particular word or phrase,", THEN turn off your hue lights"
A3ym4kb5,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
A4CFNGes,WHEN every time your lock is unlocked by a specific person,", THEN turn on your smartthings devices that support switching on"
A4DvBmKV,WHEN Aura detects motion,", THEN set your aura to away scene"
A4cJthQn,WHEN the scene is changed to the selected scene,", THEN set your aura to home scene"
A4ubWDkp,WHEN every time your SmartThings device detects temperatures above a value you specify,", THEN turn on the selected light(s)"
A52C697K,WHEN a selected member arrives,", THEN set your aura to home scene"
A5DdU3ZE,WHEN only on specific days of the week at the time you provide,", THEN dim or brighten your hue lights to a value between 0-100"
A5VMhJeT,WHEN Aura detects motion when set to Night scene,", THEN set your aura to away scene"
A5drfBcq,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights"
A5jNHCxK,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
A5zLvJwg,WHEN every time you enter an area you specify,", THEN set a nest thermostat to the temperature you specify"
A5zWnYxF,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn off your hue lights"
A6CtVpk9,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
A6SgmbpQ,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
A6cDE4bF,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN close the garage door you specify"
A6qvcEi8,WHEN every time IFTTT receives a specific event from Apilio,", THEN cancel standby mode on the selected heatmiser thermostat"
A7LWsG4c,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights"
A7isx4kY,WHEN every time someone unlocks the door with Auto Unlock,", THEN turn on your hue lights"
A7tPkTBb,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo maker on for 300 milliseconds"
A7vqB6aK,WHEN your eWeLink Support 1-Channel Switch is turned on or off,", THEN turn off your hue lights"
A85XkGNu,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
A8XrtVGL,WHEN every time you miss a phone call on your Android device,", THEN change the color of your hue lights"
A8haWxeE,WHEN every time the power rises above the specified value in watts,", THEN turn off a selected device"
A8rbGJMn,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
A9fx5DnX,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene"
A9ws8SY2,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
AA5CbnP8,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights"
AAP7vVCc,WHEN every time a new track is added to a playlist you specify,", THEN turn on a slow color loop effect for your hue lights"
AAWYwkZu,WHEN only on specific days of the week at the time you provide,", THEN change the color of your hue lights"
AAbDUHBF,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
AAc7g5Cw,WHEN every time a motion is detected at the given doorbell,", THEN turn a wemo light switch on"
ABCWe6jE,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights"
ABVQacds,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights"
ACR39WqA,WHEN Aura detects motion,", THEN set your aura to night scene"
ACcTwiNX,WHEN every time an audio event is detected,", THEN briefly turn your hue lights off THEN back on"
ACfdYDJV,WHEN a selected member arrives,", THEN set your aura to away scene"
AD9dfszG,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
ADA9KW6s,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene"
ADChicv9,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene"
ADJ48MdZ,WHEN every time the temperature rises above a threshold you specify,", THEN activate the specified scene"
ADU23fHT,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights"
ADawUGV9,WHEN every time your alarm goes off,", THEN turn your lights on"
AEDLSMPu,WHEN every time the thermostat you specify is set to a certain heating mode,", THEN turn off your hue lights"
AEZANmHf,WHEN every time you create a new plain text status message on Facebook,", THEN briefly turn your hue lights off THEN back on"
AEq9mGhv,WHEN your order is out for delivery,", THEN make your lights quickly blink the color of your choice"
AEs8ZRdz,WHEN every time your dryer cycle is complete,", THEN change the color of your hue lights"
AFCths9y,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
AFxjWyvk,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
AGJTrnc5,WHEN every time you press the button,", THEN provide comfort feedback for the device that you specified"
AGZSjuia,WHEN a selected member arrives,", THEN set your aura to guardian scene"
AGeAzKVj,WHEN a selected member arrives,", THEN set your aura to guardian scene"
AHGbTfDY,WHEN within 15 minutes of the sunset in your location,", THEN trigger the specified bot to turn on the switch"
AHndUYv2,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
AHs9fKwr,WHEN every time the carbon dioxide rises above a value you specify,", THEN briefly turn your hue lights off THEN back on"
