id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory,originalTrigger,originalAction
A5zLvJwg,Location,You enter an area,IF the user enters a specified area,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This Trigger fires every time you enter an area you specify.,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
A6qvcEi8,Apilio,Receive an event from Apilio,IF a message containing a key phrase is sent,Heatmiser,Cancel Standby Mode,", THEN cancels [ACTION_X].",Thermostat/Heating,This trigger fires every time IFTTT receives a specific event from Apilio.,This Action will cancel Standby Mode on the selected Heatmiser Thermostat.
ACRXkehA,Weather Underground,Current temperature drops below,IF local temperature is below a specified value,GE Appliances Window AC,Set target temperature,", THEN sets the target temperature [ACTION_Z] on the window air conditioner.",Thermostat/Heating,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,This Action will set a target temperature on your window ac unit.
AMHujS7k,Location,You exit an area,IF the user exits a specified area,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This Trigger fires every time you exit an area you specify.,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
AMzRw3YF,Eight,Day and night mode,IF Night or Day mode is toggled in Eight App,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This Trigger fires when you tap the 'Night mode' or 'Day mode' buttons in the Eight App.,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
AUEDFzH4,Amazon Alexa,Item added to your To Do List,IF an item is added to a to-do list,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This Trigger fires every time you add an item to your To Do List.,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
AUVqwjZt,Date & Time,Every hour at,IF every hour at quarter intervals,Hive Active Heating™ - UK and Europe,Set the thermostat to schedule,", THEN sets heating mode to [ACTION_X].",Thermostat/Heating,"This Trigger fires once an hour at :00, :15, :30, or :45 minutes past the hour.",This Action will set the heating mode to schedule.
AY5hUui7,Weather Underground,Current temperature drops below,IF local temperature is below a specified value,Hive Active Heating™ - UK and Europe,Boost heating ,", THEN boosts heating [ACTION_Y].",Thermostat/Heating,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,This Action will boost heating to the temperature and duration you specify.
AaMRsLhZ,Date & Time,Every day of the week at,IF is one of the specific days of the week at a specified time,Nature Remo,Turn on air conditioner,", THEN turns on the air conditioner and configures settings to [ACTION_X].",Thermostat/Heating,This Trigger fires only on specific days of the week at the time you provide.,"This action will turn on your air conditioner and set target temperature, AC operation mode and air volume settings.

Note: Please use the Control Home Appliances actions for the button registered by learning mode."
AeqA6Ssi,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
AwSzLFDe,Nest Thermostat,Temperature drops below,IF temperature drops below a threshold,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This Trigger fires every time the temperature drops below a threshold you specify.,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
B2CaBPvu,Google Assistant,Say a phrase with both a number and a text ingredient,IF a voice assistant is activated with a specific phrase,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Block time for ‘exercise’ at 6 PM.” **Use the # symbol to specify where you'll say the number ingredient and $ where you'll say the text ingredient,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
BAdrChei,Location,You enter an area,IF the user enters a specified area,Sensibo,Turn A/C on,", THEN turns on the air conditioner [ACTION_Z].",Thermostat/Heating,This Trigger fires every time you enter an area you specify.,"Turn your A/C on with a set temperature, mode and fan level."
BGV9ghui,Google Calendar,Event from search starts,IF shortly before a calendar event with a specific keyword occurs,ThermoSmart,Set temperature,", THEN the thermostat to the temperature you specify [ACTION_W].",Thermostat/Heating,"This Trigger fires a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location. Ingredient will be based on the zone set in Google.",This Action will set your ThermoSmart to the temperature you specify.
BGZc2AQk,Notion,"Window opens, closes or moves",IF a window is opened or moved,ecobee,Set thermostat comfort profile until next transition,", THEN sets a timed [ACTION_X] to hold.",Thermostat/Heating,"This trigger fires when a window opens, closes, or moves.",This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
BL6DyHY8,Date & Time,Every day at,IF every day at a specified time,BDR Thermea Group,Set temperature,", THEN the thermostat to the temperature you specify [ACTION_W].",Thermostat/Heating,This Trigger fires every single day at a specific time set by you.,This action will set the temperature on the thermostat.
BSF67wQq,Google Assistant,Say a phrase with a text ingredient,IF a voice assistant is activated with a specific phrase,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score.’” **Use the $ symbol to specify where you'll say the text ingredient,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
BT6kMW8C,Location,You exit an area,IF the user exits a specified area,nVent Nuheat Signature Thermostat,Set thermostat mode,", THEN sets the thermostat mode to [ACTION_X].",Thermostat/Heating,This Trigger fires every time you exit an area you specify.,This action will set the thermostat mode.
BTvxVG2i,Location,You enter an area,IF the user enters a specified area,Netatmo Thermostat,Go back to schedule,", THEN restores default heating schedule [ACTION_Z].",Thermostat/Heating,This Trigger fires every time you enter an area you specify.,This Action will order your home to go back to default schedule.
BX8yCJEn,Apilio,Receive an event from Apilio,IF a message containing a key phrase is sent,Heatmiser,Set Standby Mode,", THEN activates [ACTION_X].",Thermostat/Heating,This trigger fires every time IFTTT receives a specific event from Apilio.,This Action will activate Standby Mode on the selected Heatmiser Thermostat.
BXKRUZn2,Button widget,Button press,IF a button is pressed,Netatmo Thermostat,Set to manual mode,", THEN sets the thermostat to [ACTION_X].",Thermostat/Heating,This trigger fires every time you press the button.,This Action will set your thermostat to manual mode.
