triggerDesc,actionDesc,freeOrLocked,isTriggerEco,isActionEco,isRuleEco
IF a smart device is switched off,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN set the mode of the air conditioner to eco.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to eco.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to eco.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to eco.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to eco.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to eco.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to eco.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to eco.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to eco.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to eco.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn off the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
