id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory,originalTrigger,originalAction
ARmYqL3s,Android Device,Disconnects from a specific WiFi network,IF your Android device connects to a specified wifi network,Nature Remo,Turn off air conditioner,", THEN turn off the air conditioner [ACTION_W].",Air/Climate,This Trigger fires every time your Android device disconnects from a WiFi network you specify.,This action will turn off your air conditioner.Note: Please use the Control home appliances actions for the button registered by learning mode.
AzWs4wF6,Apilio,Receive an event from Apilio,IF ifttt receives a specified event from an external service [FREE],AC Cloud Control,Turn on A/C,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This trigger fires every time IFTTT receives a specific event from Apilio.,This Action will turn your IntesisHome A/C on.
B4Emq67S,Google Calendar,Event from search starts,IF shortly before a calendar event with a specific keyword occurs [FREE],AC Cloud Control,Turn on A/C,", THEN turn on the AC unit [ACTION_X].",Air/Climate,"This Trigger fires a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase. The search looks at the event’s Title, Description, and Location.",This Action will turn your IntesisHome A/C on.
B7nyHUWL,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Nature Remo,Turn off air conditioner,", THEN turn off the air conditioner [ACTION_W].",Air/Climate,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will turn off your air conditioner.Note: Please use the Control home appliances actions for the button registered by learning mode.
BNekJ5dj,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Nature Remo,Turn off air conditioner,", THEN turn off the air conditioner [ACTION_W].",Air/Climate,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This action will turn off your air conditioner.Note: Please use the Control home appliances actions for the button registered by learning mode.
BWTf6uBz,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Daikin Online Controller,Turn AC unit off,", THEN turn off the AC unit [ACTION_W].",Air/Climate,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will turn off your Daikin AC unit. It will be executed within 1 minute.
BWa6PZtb,Location,You exit an area,IF the user exits a specified area,AC Cloud Control,Execute scene,", THEN set the mode of the air conditioner to [ACTION_X].",Air/Climate,This Trigger fires every time you exit an area you specify.,This Action will execute the indicated scene.
BtaTxjAR,Android Device,Connects to a specific WiFi network,IF your Android device connects to a specified wifi network,AC Cloud Control,Execute scene,", THEN set the mode of the air conditioner to [ACTION_X].",Air/Climate,This Trigger fires every time your Android device connects to a WiFi network you specify.,This Action will execute the indicated scene.
CHVTLj8i,Android Device,Connects to a specific WiFi network,IF your Android device connects to a specified wifi network,Ambi Climate,Run your A/C in comfort mode,", THEN turn on the air conditioner in a specified room in [ACTION_X].",Air/Climate,This Trigger fires every time your Android device connects to a WiFi network you specify.,"This Action will turn on your A/C in the specified room, and run it in Comfort mode."
D2xWMeyF,Weather Underground,Current condition changes to,IF the weather conditions change,AC Cloud Control,Turn off A/C,", THEN turn off the AC unit [ACTION_W].",Air/Climate,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",This Action will turn your IntesisHome A/C off.
