id,triggerDesc,actionDesc,deviceCategory,original_content_after_dot
1DW5W8I_,WHEN global air pollution is higher than 50,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
A4ubWDkp,WHEN every time your SmartThings device detects temperatures above a value you specify,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
A6cDE4bF,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
AAc7g5Cw,WHEN every time a motion is detected at the given doorbell,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
ANGyY6bh,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
APLuctgD,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
APNVrCA4,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
ASgXEVUY,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
AbUDurqt,WHEN motion is detected,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
AcXZv6NU,WHEN at least one family member has come home,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
Ads7kvLD,WHEN for an account that is on a dynamic pricing plan such as the Residential Hourly Pricing program or other real time market rates whenever the average price changes,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
AgwL9r8D,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
AhcB9ikF,WHEN every time your WeMo Motion sensor detects new motion,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
At4uRQ7r,WHEN every time you enter an area you specify,", THEN change the color of the nanoleaf light panels or canvas that you select from the device dropdown on this screen",Light,You can enter either a hex value or a keyword for the color. Need help choosing a color? Bookmark nanoleaf.me/ifttt for easy access to a list and color picker.
Av7kMX46,WHEN every time your WeMo Insight Switch is turned off,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
AwiThzHd,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
B2TMR6FE,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
B46X5vTh,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN changes the brightness level of the selected wemo light",Light,If the light is off it will turn on with selected brightness level.
B4mfBX9x,WHEN every time the temperature drops below a value you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
BEhFUXSq,WHEN your Arlo device detects motion,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
BGRqrAfs,WHEN every time the wind speed rises above a value you specify,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
BGZc2AQk,"WHEN a window opens, closes, or moves",", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
BGqn2kNz,WHEN every time your WeMo Light Switch is turned on or off with a long press over two seconds,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
BHZ6GCuD,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
BSaTfwiX,WHEN every time the camera detects a motion event,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
BUiWh9ZH,WHEN every time you enter an area you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
BVhH8UwR,WHEN every single day at a specific time set by you,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
