triggerDesc,percentage,triggerType
indicates whether the carbon is clean or dirty,0.14,weather
send ifttt an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #ifttt) and this trigger fires. you can optionally add a single file attachment (up to 30mb) and ifttt will create a public url to the file as an ingredient.,0.98,manual_interaction
send ifttt an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #ifttt) and this trigger fires. you can optionally add a single file attachment and ifttt will create a public url to the file as an ingredient.,1.47,manual_interaction
send ifttt any email at trigger@applet.ifttt.com and this trigger fires. you can optionally add a single file attachment and ifttt will create a public url to the file as an ingredient. ,1.05,manual_interaction
send ifttt any email at trigger@applet.ifttt.com and this trigger fires. you can optionally add a single file attachment and ifttt will create a public url to the file as an ingredient. this trigger will reject emails with attachments over 30mb.,1.05,manual_interaction
the trigger fires when the swann video doorbell button is pressed.,0.07,manual_interaction
this trigger fire every time your smartthings device is unlocked.,0.07,device_state
"this trigger fires a set number of minutes before the starting time of an event on your calendar that contains a specific keyword or phrase in the event’s title, description, or location. ingredient will be based on the zone set in google.",0.63,external_service
"this trigger fires a set number of minutes before the starting time of an event on your google calendar that contains a specific keyword or phrase. the search looks at the event’s title, description, and location.",0.42,external_service
this trigger fires a set number of minutes before the starting time of any event on your google calendar.,0.14,external_service
this trigger fires a set number of minutes before the starting time of any event on your google calendar. note: the time in the ingredient will be based on the timezone set in google calendar.,0.07,external_service
this trigger fires during alarms,0.14,other
this trigger fires ever time the gust speed rises above a value you specify.,0.07,other
this trigger fires every month on the day and time you specify.,0.07,device_state
this trigger fires every single day at a specific time set by you.,7.65,schedule
this trigger fires every time a device connects to google wifi.,0.21,external_service
this trigger fires every time a device disconnects from google wifi.,0.14,external_service
this trigger fires every time a device in your house turns on or off.,0.07,device_state
this trigger fires every time a group decision or direct action has been taken,0.14,schedule
this trigger fires every time a motion event is detected.,0.35,motion
this trigger fires every time a motion is detected at the given doorbell.,0.91,motion
this trigger fires every time a new event is added to the calendar that you specify.,0.14,manual_interaction
this trigger fires every time a new item is added to the feed you specify.,0.21,manual_interaction
this trigger fires every time a new notification is received on your android device from an app that you specify. note: will not fire for ifttt app notifications.,0.42,external_service
this trigger fires every time a new reminder is added to the list you specify.,0.07,manual_interaction
this trigger fires every time a new reminder is completed in a list you specify.,0.07,schedule
this trigger fires every time a new screenshot is taken on your android device.,0.07,external_service
this trigger fires every time a specific user you are subscribed to makes a new video public.,0.07,schedule
this trigger fires every time an audio event is detected.,0.28,audio
this trigger fires every time anyone posts a tweet at a location you specify. ,0.07,external_service
this trigger fires every time ifttt receives a specific event from apilio.,0.56,external_service
this trigger fires every time one of your mi|home devices is powered on.,0.07,device_state
this trigger fires every time somebody rings your ring doorbell.,0.49,schedule
this trigger fires every time someone closes the door. (only supported for activated door sensor.),0.07,device_state
this trigger fires every time someone locks the door with lock 'n' go by pressing the button on the smart lock twice.,0.07,device_state
this trigger fires every time someone opens the door. (only supported for activated door sensor.),0.07,device_state
this trigger fires every time the camera detects a motion event.,0.21,motion
this trigger fires every time the camera detects a sound or motion event.,0.35,audio
this trigger fires every time the carbon dioxide rises above a value you specify.,0.14,weather
this trigger fires every time the home you specify is set to away.,0.84,schedule
this trigger fires every time the home you specify is set to home.,0.63,schedule
this trigger fires every time the humidity drops below a percentage you specify.,0.07,weather
this trigger fires every time the humidity rises above a percentage you specify.,0.21,weather
this trigger fires every time the international space station passes over a location you specify. note: the iss completes 15.5 orbits per day.,0.07,schedule
this trigger fires every time the nest protect you specify detects dangerous carbon monoxide levels.,0.14,weather
this trigger fires every time the nest protect you specify detects dangerous smoke levels.,0.21,schedule
this trigger fires every time the nest protect you specify detects warning carbon monoxide levels.,0.21,weather
this trigger fires every time the nest protect you specify detects warning smoke levels.,0.21,schedule
this trigger fires every time the noise drops below a decibel value you specify.,0.07,schedule
this trigger fires every time the power drops below the specified value in watts.,0.07,schedule
this trigger fires every time the power rises above the specified value in watts.,0.21,schedule
this trigger fires every time the specified lock is locked.,0.07,device_state
this trigger fires every time the specified lock is unlocked.,0.21,device_state
this trigger fires every time the temperature drops below a threshold you specify.,0.56,weather
this trigger fires every time the temperature drops below a value you specify.,0.42,weather
this trigger fires every time the temperature drops below the chosen value.,0.07,weather
this trigger fires every time the temperature measured by your spotter drops below the value you specify.,0.21,weather
this trigger fires every time the temperature measured by your spotter rises above the value you specify.,0.07,weather
this trigger fires every time the temperature rises above a threshold you specify.,0.63,weather
this trigger fires every time the temperature rises above a value you specify.,0.14,weather
this trigger fires every time the temperature rises above the chosen value.,0.07,weather
this trigger fires every time the wind speed rises above a value you specify in your location.,0.07,schedule
this trigger fires every time the you ask alexa what's on your shopping list.,0.07,audio
this trigger fires every time the your smartthings device detects brightness below a value you specify.,0.07,schedule
this trigger fires every time you achieve your daily step goal.,0.14,schedule
this trigger fires every time you add an item to your to do list.,0.07,manual_interaction
this trigger fires every time you answer a phone call on your android device.,0.14,external_service
this trigger fires every time you are @mentioned in a tweet.,0.07,external_service
this trigger fires every time you are tagged you in a new photo. note: facebook privacy settings may block ifttt’s access to some photos you are tagged in.,0.28,external_service
"this trigger fires every time you check in on foursquare or swarm
with a single hashtag in the shout (e.g. #ifttt).",0.07,external_service
this trigger fires every time you check in on foursquare or swarm. only works with public check-ins. ,0.07,device_state
this trigger fires every time you check in to a venue in a specific category on foursquare or swarm. it only works with public check-ins.,0.07,device_state
this trigger fires every time you click the selected flic.,0.77,manual_interaction
this trigger fires every time you complete an item on your to do list.,0.07,device_state
this trigger fires every time you create a new plain text status message on facebook.,0.07,external_service
this trigger fires every time you delete an item on your to do list.,0.07,device_state
this trigger fires every time you do a double press on the configured logi button.,0.07,manual_interaction
this trigger fires every time you do not achieve a daily goal you choose at the time you specify. note: updated on the first fitbit tracker sync after the time you specify.,0.07,device_state
this trigger fires every time you double press your misfit flash button.,0.07,manual_interaction
this trigger fires every time you enter an area you specify.,3.86,motion
this trigger fires every time you enter or exit an area you specify.,0.7,motion
this trigger fires every time you exit an area you specify.,3.51,motion
this trigger fires every time you leave any voicemail at your ifttt phone number.,0.28,external_service
this trigger fires every time you miss a phone call on your android device.,0.21,external_service
this trigger fires every time you or someone in your orion group says a particular word or phrase.,0.07,schedule
this trigger fires every time you place a phone call on your android device to a number you specify.,0.07,external_service
this trigger fires every time you post a new tweet with a specific hashtag.,0.35,external_service
this trigger fires every time you post a new tweet.,0.07,external_service
this trigger fires every time you press the button.,4.56,manual_interaction
this trigger fires every time you receive a new voicemail.,0.07,schedule
this trigger fires every time you receive an incoming call from a number that is not in your contact list.,0.07,schedule
this trigger fires every time you receive an incoming call from a phone number in your contact list.,0.14,schedule
this trigger fires every time you receive an incoming call.,0.21,schedule
this trigger fires every time you receive an sms on your android device that matches a search you specify.,0.21,external_service
this trigger fires every time you receive any new sms on your android device.,0.07,external_service
"this trigger fires every time you say 'alexa trigger' + the phrase that you have defined. for instance, if you set 'party time' as the phrase, you can say 'alexa trigger party time' to have your lights loop colors.",3.86,audio
this trigger fires every time you send an sms on your android device that matches a search you specify.,0.28,external_service
this trigger fires every time your alarm goes off.,0.91,external_service
this trigger fires every time your android device connects to a wifi network you specify.,0.63,external_service
this trigger fires every time your android device disconnects from a bluetooth device.,0.07,external_service
this trigger fires every time your android device disconnects from a wifi network you specify.,0.49,external_service
this trigger fires every time your android device disconnects from any wifi network.,0.07,external_service
this trigger fires every time your android device is plugged in.,0.14,external_service
this trigger fires every time your android device is unplugged.,0.14,external_service
this trigger fires every time your android device's battery drops below 15%.,0.28,external_service
this trigger fires every time your cloudbit receives an input signal from another littlebits module.,0.07,schedule
this trigger fires every time your dimmer is turned off.,0.07,device_state
this trigger fires every time your ecobee thermostat and room sensors change to smart home or smart away comfort profiles.,0.07,schedule
this trigger fires every time your ecobee thermostat senses that the indoor humidity is greater than a specific value you supply.,0.07,weather
this trigger fires every time your ecobee thermostat senses that the indoor humidity is less than a specific value you supply.,0.07,weather
this trigger fires every time your ecobee thermostat senses that the indoor temperature is greater than a specific value you supply.,0.35,weather
this trigger fires every time your ecobee thermostat senses that the indoor temperature is less than a specific value you supply.,0.21,weather
this trigger fires every time your fitbit logs new sleep.,0.14,external_service
this trigger fires every time your ifttt tag on mesh app receives an input signal from the other tag.,0.42,external_service
this trigger fires every time your lock is locked by a specific person.,0.07,device_state
this trigger fires every time your lock is unlocked by a specific person.,0.07,device_state
this trigger fires every time your myfox security system detects a household risk.,0.07,external_service
"this trigger fires every time your myfox security system receives an alarm (detection, intrusion, silent alert, ...).",0.07,external_service
this trigger fires every time your site changes modes.,0.07,schedule
this trigger fires every time your smartthings device detects humidity above a value you specify.,0.07,weather
this trigger fires every time your smartthings device detects humidity below a value you specify.,0.07,weather
this trigger fires every time your smartthings device detects temperatures above a value you specify.,0.07,weather
this trigger fires every time your smartthings device detects temperatures below a value you specify.,0.07,weather
this trigger fires every time your smartthings device is opened.,0.07,device_state
this trigger fires every time your smartthings device is switched off.,0.07,device_state
this trigger fires every time your smartthings device is switched on.,0.07,device_state
this trigger fires every time your smartthings device senses motion.,0.21,motion
this trigger fires every time your smartthings device's presence is detected.,0.14,device_state
this trigger fires every time your smartthings device's presence is no longer detected.,0.14,device_state
this trigger fires every time your timer goes off.,0.07,device_state
this trigger fires every time your wemo dimmer is turned on or off with a long press over two seconds.,0.07,manual_interaction
this trigger fires every time your wemo insight switch enters standby mode. the switch enters standby mode when the device attached to it is manually powered off or stops drawing power.,0.07,device_state
this trigger fires every time your wemo insight switch is turned off.,0.35,device_state
this trigger fires every time your wemo insight switch is turned on.,0.21,device_state
this trigger fires every time your wemo light switch is turned off.,0.28,device_state
this trigger fires every time your wemo light switch is turned on or off with a long press over two seconds.,0.56,manual_interaction
this trigger fires every time your wemo light switch is turned on.,0.35,device_state
this trigger fires every time your wemo light switches off.,0.07,device_state
this trigger fires every time your wemo light switches on.,0.07,device_state
this trigger fires every time your wemo maker relay is turned on in toggle mode.,0.21,device_state
this trigger fires every time your wemo motion sensor detects new motion after a specific period of inactivity.,0.14,motion
this trigger fires every time your wemo motion sensor detects new motion.,0.84,motion
this trigger fires every time your wemo switch is turned off.,0.84,device_state
this trigger fires every time your wemo switch is turned on.,1.33,device_state
"this trigger fires every time your withings sleep detects that you get into bed, within the start and end time parameters that you specify. ",0.21,schedule
"this trigger fires every time your withings sleep detects that you get out of bed, within the start and end time parameters that you specify.",0.14,schedule
this trigger fires for an account that is on a dynamic pricing plan such as the residential hourly pricing program or other real time market rates whenever the average price changes.,0.21,pricing
this trigger fires if you tap a gesture with a custom ifttt task matching the id of this trigger.,0.91,external_service
this trigger fires once a year on the date and time you specify.,0.35,device_state
"this trigger fires once an hour at :00, :15, :30, or :45 minutes past the hour.",0.84,schedule
this trigger fires only on specific days of the week at the time you provide.,3.02,device_state
this trigger fires when a contact sensor closes.,0.28,device_state
this trigger fires when a contact sensor opens.,0.42,device_state
this trigger fires when a device attached to your homeseer system is turned off.,0.07,device_state
this trigger fires when a device attached to your homeseer system is turned on.,0.07,device_state
this trigger fires when a door is closed.,0.07,device_state
this trigger fires when a door is opened.,0.21,device_state
"this trigger fires when a door opens, closes, or moves.",0.07,device_state
this trigger fires when a knx device or binary switch is turned off.,0.07,device_state
this trigger fires when a leak is detected by the specified device.,0.07,device_state
this trigger fires when a mitsubishi electric zone turns off.,0.07,device_state
this trigger fires when a mitsubishi electric zone turns on.,0.07,device_state
this trigger fires when a mode is armed.,0.07,device_state
this trigger fires when a mode is disarmed.,0.07,device_state
this trigger fires when a motion sensor becomes clear.,0.28,motion
this trigger fires when a motion sensor detects motion.,0.21,motion
this trigger fires when a nexia automation runs.,0.07,external_service
this trigger fires when a particular cell is updated within the spreadsheet you specify.,0.07,external_service
this trigger fires when a routine is activated.,0.07,external_service
this trigger fires when a scheduled meeting ends.,0.14,device_state
this trigger fires when a scheduled meeting starts.,0.14,device_state
this trigger fires when a sensor has been activated.,0.07,other
this trigger fires when a specified motion sensor tag(s) or reed sensor(s) detect that a door or window is open.,0.07,motion
this trigger fires when a specified tag senses that its ambient temperature exceeds an upper threshold configured at temperature options screen inside the wirelesstag app.,0.07,weather
this trigger fires when a specified tag senses that its ambient temperature falls below an lower threshold configured at temperature options screen inside the wirelesstag app.,0.21,weather
this trigger fires when a specified tag senses that its ambient temperature returns between the upper and lower thresholds configured at temperature options screen inside the wirelesstag app.,0.07,weather
"this trigger fires when a specified tag with humidity or moisture monitoring enabled, detects 'too dry' state. adjust the threshold from the humidity/moisture options screen inside the wirelesstag app.",0.07,weather
"this trigger fires when a specified tag with humidity or moisture monitoring enabled, returns within normal humidity range. adjust the upper/lower thresholds from the humidity/moisture options screen inside the wirelesstag app.",0.07,weather
this trigger fires when a vehicle exits one of its geo-circles,0.07,other
this trigger fires when a wyze cam detects motion. the minimum firmware version required is v3.9.3.62 for v1 and v4.9.1.60 for v2.,0.14,motion
this trigger fires when a z-wave sensor detects motion.,0.07,motion
this trigger fires when an alarm event occurs.,0.14,external_service
this trigger fires when an alarm of your rf bridge is activated.,0.21,external_service
this trigger fires when an event is triggered from your litter robot. ie. clean cycle completes,0.21,other
this trigger fires when an ihome enhance button is pressed,0.14,manual_interaction
"this trigger fires when an issue occurs, such as low battery, device offline, etc.",0.07,other
this trigger fires when an ohmhour ends.,0.14,device_state
this trigger fires when an ohmhour starts,0.14,device_state
this trigger fires when at least one family member has come home.,0.07,other
this trigger fires when every family member has left.,0.21,motion
this trigger fires when global air pollution is higher than 50.,0.14,weather
this trigger fires when it's time for prayer.,0.14,manual_interaction
this trigger fires when motion is detected.,0.07,motion
this trigger fires when motion sensor is triggered/ untriggered.,0.07,motion
this trigger fires when my total connect security panel has been armed or disarmed.,0.07,external_service
