triggerDesc,actionDesc
IF air pollution or gas levels exceed a threshold,", THEN turn on a specific smart device in eco mode."
IF air pollution or gas levels exceed a threshold,", THEN turn on a specific smart device in comfort mode."
IF air pollution or gas levels exceed a threshold,", THEN turn on a specific smart device in turbo mode."
IF air pollution or gas levels exceed a threshold,", THEN turn on a specific smart device in low power mode."
IF air pollution or gas levels exceed a threshold,", THEN turn on a specific smart device in default mode."
IF air pollution or gas levels exceed a threshold,", THEN turn on a specific smart device in maximum power."
IF air pollution or gas levels exceed a threshold,", THEN turn on a specific smart device in energy saving mode."
IF air pollution or gas levels exceed a threshold,", THEN turn on a specific smart device in auto mode."
IF air pollution or gas levels exceed a threshold,", THEN turn on a specific smart device in boost mode."
IF the user exits a specified area,", THEN start the robot in eco mode."
IF the user exits a specified area,", THEN start the robot in comfort mode."
IF the user exits a specified area,", THEN start the robot in turbo mode."
IF the user exits a specified area,", THEN start the robot in low power mode."
IF the user exits a specified area,", THEN start the robot in default mode."
IF the user exits a specified area,", THEN start the robot in maximum power."
IF the user exits a specified area,", THEN start the robot in energy saving mode."
IF the user exits a specified area,", THEN start the robot in auto mode."
IF the user exits a specified area,", THEN start the robot in boost mode."
IF the user exits a specified area,", THEN switch off a device after a specified amount of time."
IF the user exits a specified area,", THEN switch off a device after a while."
IF the user exits a specified area,", THEN switch off a device after a large amount of time."
IF the user exits a specified area,", THEN switch off a device after a fixed delay."
IF the user exits a specified area,", THEN switch off a device without delay."
IF the user exits a specified area,", THEN switch off a device after several hours."
IF the user exits a specified area,", THEN switch off a device after a defined period ."
IF the user exits a specified area,", THEN switch off a device immediately."
IF the user exits a specified area,", THEN switch off a device much later."
IF the user exits a specified area,", THEN turn off a specified device after a specified amount of time."
IF the user exits a specified area,", THEN turn off a specified device after a while."
IF the user exits a specified area,", THEN turn off a specified device after a large amount of time."
IF the user exits a specified area,", THEN turn off a specified device after a fixed delay."
IF the user exits a specified area,", THEN turn off a specified device without delay."
IF the user exits a specified area,", THEN turn off a specified device after several hours."
IF the user exits a specified area,", THEN turn off a specified device after a defined period ."
IF the user exits a specified area,", THEN turn off a specified device immediately."
IF the user exits a specified area,", THEN turn off a specified device much later."
IF the user exits a specified area,", THEN pause the thermostat after a specified amount of time."
IF the user exits a specified area,", THEN pause the thermostat after a while."
IF the user exits a specified area,", THEN pause the thermostat after a large amount of time."
IF the user exits a specified area,", THEN pause the thermostat after a fixed delay."
IF the user exits a specified area,", THEN pause the thermostat without delay."
