actionDesc,action_starts_with_ok,action_contains_numbers,action_contains_timewords
"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",True,False,False
This Action will change the color of your lights.,True,False,False
This Action will turn on your hue lights.,True,False,False
This Action will make your lights quickly blink the color of your choice.,True,False,False
This Action will turn off your hue lights.,True,False,False
This Action will turn your lights on.,True,False,False
This Action will make your lights quickly blink the color of your choice.,True,False,False
This Action will adjust multiple lights and shades together by activating a scene created in the Lutron app.,True,False,False
This action will set your Aura to Guardian scene. ,True,False,False
This action will set your Aura to Guardian scene. ,True,False,False
This action will set your Aura to Guardian scene. ,True,False,False
This action will start your robot.,True,False,False
This Action will turn off your hue lights.,True,False,False
This Action will turn on a slow color loop effect for your hue lights. NOTE: not compatible with hue lux bulbs.,True,False,False
"This Action well set a scene on your hue lights. NOTE: in order to add lights to a room, you must be using the newest version of the Hue app",True,False,False
This Action will turn off your hue lights.,True,False,False
This action will set your Aura to Away scene. ,True,False,False
This Action will turn on your SmartThings devices that support switching on.,True,False,True
This action will set your Aura to Away scene. ,True,False,False
This action will set your Aura to Home scene. ,True,False,False
"This action will turn on the selected light(s). Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming.",True,False,False
This action will set your Aura to Home scene. ,True,False,False
This Action will dim or brighten your hue lights to a value between 0-100.,True,True,False
This action will set your Aura to Away scene. ,True,False,False
This Action will turn on your hue lights.,True,False,False
This action will set your Aura to Guardian scene. ,True,False,False
This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,True,False,True
This Action will turn off your hue lights.,True,False,False
This action will set your Aura to Guardian scene. ,True,False,False
This action will set your Aura to Away scene. ,True,False,False
"This Action will close the garage door you specify. If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled.",True,False,False
This Action will cancel Standby Mode on the selected Heatmiser Thermostat.,True,False,False
This Action will turn on your hue lights.,True,False,False
This Action will turn on your hue lights.,True,False,False
This Action will turn a WeMo Maker on for 300 milliseconds. Note: WeMo Maker must be in 'Momentary' mode for this action to work.,True,True,False
This Action will turn off your hue lights.,True,False,False
This action will set your Aura to Away scene. ,True,False,False
This Action will change the color of your hue lights. NOTE: Accepts color names and CSS hex color values. Defaults to white if no color match is found. NOTE: not compatible with hue lux bulbs.,True,False,False
This action will turn off a selected device.,True,False,False
This action will set your Aura to Guardian scene. ,True,False,False
This Action will change the color of your hue lights. NOTE: Accepts color names and CSS hex color values. Defaults to white if no color match is found. NOTE: not compatible with hue lux bulbs.,True,False,False
This action will set your Aura to Home scene. ,True,False,False
This action will set your Aura to Away scene. ,True,False,False
This Action will turn on your hue lights.,True,False,False
This Action will turn on a slow color loop effect for your hue lights. NOTE: not compatible with hue lux bulbs.,True,False,False
This Action will change the color of your hue lights. NOTE: Accepts color names and CSS hex color values. Defaults to white if no color match is found. NOTE: not compatible with hue lux bulbs.,True,False,False
"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",True,False,False
This action will set your Aura to Guardian scene. ,True,False,False
"This Action will turn a WeMo Light Switch on. If the WeMo Switch is already on, it will remain on.",True,False,False
This Action will turn on your hue lights.,True,False,False
This Action will turn on your hue lights.,True,False,False
This action will set your Aura to Night scene. ,True,False,False
This Action will set a target temperature on your window ac unit.,True,False,False
This Action will briefly turn your hue lights off then back on.,True,False,False
This action will set your Aura to Away scene. ,True,False,False
This action will set your Aura to Guardian scene. ,True,False,False
This action will set your Aura to Away scene. ,True,False,False
This action will set your Aura to Away scene. ,True,False,False
This action will activate the specified scene.,True,False,False
This Action will turn on your hue lights.,True,False,False
This Action will turn your lights on.,True,False,False
This Action will turn off your hue lights.,True,False,False
This Action will change the color of your hue lights. NOTE: Accepts color names and CSS hex color values. Defaults to white if no color match is found. NOTE: not compatible with hue lux bulbs.,True,False,False
This Action will briefly turn your hue lights off then back on.,True,False,False
This Action will make your lights quickly blink the color of your choice.,True,False,False
This Action will change the color of your hue lights. NOTE: Accepts color names and CSS hex color values. Defaults to white if no color match is found. NOTE: not compatible with hue lux bulbs.,True,False,False
This action will set your Aura to Guardian scene. ,True,False,False
This action will set your Aura to Away scene. ,True,False,False
