id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory,originalTrigger,originalAction
2t_0laov,Weather Underground,Current condition changes to,IF the current weather condition changes,LIFX,Change color of lights,", THEN changes the color of lights [ACTION_Y].",Light,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",This Action will change the color of your lights.
3YTfci83,Weather Underground,Sunset,IF within 15 minutes of sunset in your location,Philips Hue,Turn on lights,", THEN turns on smart lights in [ACTION_X].",Light,This Trigger fires within 15 minutes of the sunset in your location.,This Action will turn on your hue lights.
5WNCtNZz,SpotCam,Motion event detected,IF motion is detected,LIFX,Blink lights,", THEN triggers a light animation effect [ACTION_Z].",Light,This Trigger fires every time a motion event is detected.,This Action will make your lights quickly blink the color of your choice.
6HyirEwt,Location,You exit an area,IF you exit an area you specify,Philips Hue,Turn off lights,", THEN turns off smart lights [ACTION_W].",Light,This Trigger fires every time you exit an area you specify.,This Action will turn off your hue lights.
8gGhZ9wx,August,Lock unlocked by specific person,IF a specified lock is locked,LIFX,Turn lights on,", THEN turns on smart lights [ACTION_X].",Light,This Trigger fires every time your lock is unlocked by a specific person.,This Action will turn your lights on.
9EW9URq7,SpotCam,Audio event detected,IF an audio event is detected,LIFX,Blink lights,", THEN triggers a light animation effect [ACTION_Z].",Light,This Trigger fires every time an audio event is detected.,This Action will make your lights quickly blink the color of your choice.
A2DB4FNG,MyQ,Door opened,IF a door is opened,Lutron Caséta and RA2 Select,Activate scene,", THEN activates a lighting scene in [ACTION_X].",Light,This trigger fires when a door is opened.,This Action will adjust multiple lights and shades together by activating a scene created in the Lutron app.
A3fZ6aAT,Amazon Alexa,Say a specific phrase,IF you say 'Alexa trigger' plus the phrase you have defined,Philips Hue,Turn off lights,", THEN turns off smart lights [ACTION_W].",Light,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will turn off your hue lights.
A3g4ekb6,Amazon Alexa,Say a specific phrase,IF you say 'Alexa trigger' plus the phrase you have defined,Philips Hue,Turn on color loop,", THEN sets the color temperature of lights [ACTION_Y].",Light,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will turn on a slow color loop effect for your hue lights. NOTE: not compatible with hue lux bulbs.
A3q48iQs,Date & Time,Every day of the week at,IF only on specific days of the week at a specified time,Philips Hue,Set a scene in a room,", THEN activates a lighting scene [ACTION_Y].",Light,This Trigger fires only on specific days of the week at the time you provide.,"This Action well set a scene on your hue lights. NOTE: in order to add lights to a room, you must be using the newest version of the Hue app"
