id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory,originalTrigger,originalAction
1DW5W8I_,Foobot,Pollution is high,IF air pollution or carbon intensity crosses a threshold,WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires when global air pollution is higher than 50.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
A38TqjpD,Location,You exit an area,IF the user exits a specified area,iRobot,Start robot,", THEN start the robot.",Generic/Other,This Trigger fires every time you exit an area you specify.,This action will start your robot.
A7tPkTBb,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],WeMo Maker,Turn relay on momentarily,", THEN turn on a specific smart device.",Generic/Other,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will turn a WeMo Maker on for 300 milliseconds. Note: WeMo Maker must be in 'Momentary' mode for this action to work.
A8haWxeE,Smappee,Power rises above,IF temperature rises above a threshold,TP-Link Kasa,Turn off,", THEN switch off a device for a specified amount of time.",Generic/Other,This Trigger fires every time the power rises above the specified value in watts.,This action will turn off a selected device.
AAY7cbwT,UbiBot,Temperature Rises above or Drops below,IF temperature drops below a specified threshold,WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,This trigger monitors the UbiBot device's built-in temperature sensor readings and fires whenever the temperature rises above or drops below the value you provide.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
ADJ48MdZ,Nest Thermostat,Temperature rises above,IF temperature rises above a specified threshold,Smart Life,Activate Scene,", THEN activate to a specified scene.",Generic/Other,This Trigger fires every time the temperature rises above a threshold you specify.,This action will activate the specified scene.
AHGbTfDY,Weather Underground,Sunset,"IF it is sunset, within a specified time",SwitchBot,Bot turn on ,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger fires within 15 minutes of the sunset in your location.,This action will trigger the specified Bot to turn on the switch.
ANGCFaWf,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Smart Life,Activate Scene,", THEN activate to a specified scene.",Generic/Other,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will activate the specified scene.
ANGyY6bh,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],WeMo Insight Switch,Turn on,", THEN turn on a specific smart device.",Generic/Other,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.","This Action will turn a WeMo Insight Switch on. If the WeMo Insight Switch is already on, it will remain on."
APNVrCA4,Date & Time,Every day at,IF a specified time occurs [FREE],WeMo Smart Plug,Turn off,", THEN turn off a specified device.",Generic/Other,This Trigger fires every single day at a specific time set by you.,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off."
