triggerDesc,actionDesc
IF every day at a specified time,", THEN start the dishwasher for a specific amount of time."
IF every day at a specified time,", THEN start the dishwasher for a while."
IF every day at a specified time,", THEN start the dishwasher for the entire day."
IF every day at a specified time,", THEN start the dishwasher for a limited time."
IF every day at a specified time,", THEN start the dishwasher until stopped."
IF every day at a specified time,", THEN start the dishwasher indefinitely."
IF every day at a specified time,", THEN start the dishwasher temporarily."
IF every day at a specified time,", THEN start the dishwasher until manually changed."
IF every day at a specified time,", THEN start the dishwasher continuously."
IF every day at a specified time,", THEN turn on the coffee machine for a specific amount of time."
IF every day at a specified time,", THEN turn on the coffee machine for a while."
IF every day at a specified time,", THEN turn on the coffee machine for the entire day."
IF every day at a specified time,", THEN turn on the coffee machine for a limited time."
IF every day at a specified time,", THEN turn on the coffee machine until stopped."
IF every day at a specified time,", THEN turn on the coffee machine indefinitely."
IF every day at a specified time,", THEN turn on the coffee machine temporarily."
IF every day at a specified time,", THEN turn on the coffee machine until manually changed."
IF every day at a specified time,", THEN turn on the coffee machine continuously."
IF every day at a specified time,", THEN deactivate eco mode on the appliance."
IF every day at a specified time,", THEN deactivate comfort mode on the appliance."
IF every day at a specified time,", THEN deactivate turbo mode on the appliance."
IF every day at a specified time,", THEN deactivate low power mode on the appliance."
IF every day at a specified time,", THEN deactivate default mode on the appliance."
IF every day at a specified time,", THEN deactivate maximum power on the appliance."
IF every day at a specified time,", THEN deactivate energy saving mode on the appliance."
IF every day at a specified time,", THEN deactivate auto mode on the appliance."
IF every day at a specified time,", THEN deactivate boost mode on the appliance."
IF a smoke detector detects smoke,", THEN turn off then oven after a specified amount of time."
IF a smoke detector detects smoke,", THEN turn off then oven after a while."
IF a smoke detector detects smoke,", THEN turn off then oven after a large amount of time."
IF a smoke detector detects smoke,", THEN turn off then oven after a fixed delay."
IF a smoke detector detects smoke,", THEN turn off then oven without delay."
IF a smoke detector detects smoke,", THEN turn off then oven after several hours."
IF a smoke detector detects smoke,", THEN turn off then oven after a defined period ."
IF a smoke detector detects smoke,", THEN turn off then oven immediately."
IF a smoke detector detects smoke,", THEN turn off then oven much later."
IF a smoke detector detects smoke,", THEN turn off the hood after a specified amount of time."
IF a smoke detector detects smoke,", THEN turn off the hood after a while."
IF a smoke detector detects smoke,", THEN turn off the hood after a large amount of time."
IF a smoke detector detects smoke,", THEN turn off the hood after a fixed delay."
IF a smoke detector detects smoke,", THEN turn off the hood without delay."
IF a smoke detector detects smoke,", THEN turn off the hood after several hours."
IF a smoke detector detects smoke,", THEN turn off the hood after a defined period ."
IF a smoke detector detects smoke,", THEN turn off the hood immediately."
IF a smoke detector detects smoke,", THEN turn off the hood much later."
IF a smoke detector detects smoke,", THEN turn off then oven after a specified amount of time."
IF a smoke detector detects smoke,", THEN turn off then oven after a while."
IF a smoke detector detects smoke,", THEN turn off then oven after a large amount of time."
IF a smoke detector detects smoke,", THEN turn off then oven after a fixed delay."
IF a smoke detector detects smoke,", THEN turn off then oven without delay."
IF a smoke detector detects smoke,", THEN turn off then oven after several hours."
IF a smoke detector detects smoke,", THEN turn off then oven after a defined period ."
IF a smoke detector detects smoke,", THEN turn off then oven immediately."
IF a smoke detector detects smoke,", THEN turn off then oven much later."
IF a smoke detector detects smoke,", THEN turn off the hood after a specified amount of time."
IF a smoke detector detects smoke,", THEN turn off the hood after a while."
IF a smoke detector detects smoke,", THEN turn off the hood after a large amount of time."
IF a smoke detector detects smoke,", THEN turn off the hood after a fixed delay."
IF a smoke detector detects smoke,", THEN turn off the hood without delay."
IF a smoke detector detects smoke,", THEN turn off the hood after several hours."
IF a smoke detector detects smoke,", THEN turn off the hood after a defined period ."
IF a smoke detector detects smoke,", THEN turn off the hood immediately."
IF a smoke detector detects smoke,", THEN turn off the hood much later."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher for a while."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher for the entire day."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher for a limited time."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher until stopped."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher indefinitely."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher temporarily."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher until manually changed."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher continuously."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher for a while."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher for the entire day."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher for a limited time."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher until stopped."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher indefinitely."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher temporarily."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher until manually changed."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher continuously."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher for a while."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher for the entire day."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher for a limited time."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher until stopped."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher indefinitely."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher temporarily."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher until manually changed."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher continuously."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher for a while."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher for the entire day."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher for a limited time."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher until stopped."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher indefinitely."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher temporarily."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher until manually changed."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher continuously."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher for a while."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher for the entire day."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher for a limited time."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher until stopped."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher indefinitely."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher temporarily."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher until manually changed."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher continuously."
IF a voice assistant is activated with a specific phrase,", THEN turn off then oven after a specified amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turn off then oven after a while."
IF a voice assistant is activated with a specific phrase,", THEN turn off then oven after a large amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turn off then oven after a fixed delay."
IF a voice assistant is activated with a specific phrase,", THEN turn off then oven without delay."
IF a voice assistant is activated with a specific phrase,", THEN turn off then oven after several hours."
IF a voice assistant is activated with a specific phrase,", THEN turn off then oven after a defined period ."
IF a voice assistant is activated with a specific phrase,", THEN turn off then oven immediately."
IF a voice assistant is activated with a specific phrase,", THEN turn off then oven much later."
IF a voice assistant is activated with a specific phrase,", THEN stop then oven after a specified amount of time."
IF a voice assistant is activated with a specific phrase,", THEN stop then oven after a while."
IF a voice assistant is activated with a specific phrase,", THEN stop then oven after a large amount of time."
IF a voice assistant is activated with a specific phrase,", THEN stop then oven after a fixed delay."
IF a voice assistant is activated with a specific phrase,", THEN stop then oven without delay."
IF a voice assistant is activated with a specific phrase,", THEN stop then oven after several hours."
IF a voice assistant is activated with a specific phrase,", THEN stop then oven after a defined period ."
IF a voice assistant is activated with a specific phrase,", THEN stop then oven immediately."
IF a voice assistant is activated with a specific phrase,", THEN stop then oven much later."
IF a voice assistant is activated with a specific phrase,", THEN deactivate then oven after a specified amount of time."
IF a voice assistant is activated with a specific phrase,", THEN deactivate then oven after a while."
IF a voice assistant is activated with a specific phrase,", THEN deactivate then oven after a large amount of time."
IF a voice assistant is activated with a specific phrase,", THEN deactivate then oven after a fixed delay."
IF a voice assistant is activated with a specific phrase,", THEN deactivate then oven without delay."
IF a voice assistant is activated with a specific phrase,", THEN deactivate then oven after several hours."
IF a voice assistant is activated with a specific phrase,", THEN deactivate then oven after a defined period ."
IF a voice assistant is activated with a specific phrase,", THEN deactivate then oven immediately."
IF a voice assistant is activated with a specific phrase,", THEN deactivate then oven much later."
IF a voice assistant is activated with a specific phrase,", THEN stopped then oven after a specified amount of time."
IF a voice assistant is activated with a specific phrase,", THEN stopped then oven after a while."
IF a voice assistant is activated with a specific phrase,", THEN stopped then oven after a large amount of time."
IF a voice assistant is activated with a specific phrase,", THEN stopped then oven after a fixed delay."
IF a voice assistant is activated with a specific phrase,", THEN stopped then oven without delay."
IF a voice assistant is activated with a specific phrase,", THEN stopped then oven after several hours."
IF a voice assistant is activated with a specific phrase,", THEN stopped then oven after a defined period ."
IF a voice assistant is activated with a specific phrase,", THEN stopped then oven immediately."
IF a voice assistant is activated with a specific phrase,", THEN stopped then oven much later."
IF a voice assistant is activated with a specific phrase,", THEN turned off then oven after a specified amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turned off then oven after a while."
IF a voice assistant is activated with a specific phrase,", THEN turned off then oven after a large amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turned off then oven after a fixed delay."
IF a voice assistant is activated with a specific phrase,", THEN turned off then oven without delay."
IF a voice assistant is activated with a specific phrase,", THEN turned off then oven after several hours."
IF a voice assistant is activated with a specific phrase,", THEN turned off then oven after a defined period ."
IF a voice assistant is activated with a specific phrase,", THEN turned off then oven immediately."
IF a voice assistant is activated with a specific phrase,", THEN turned off then oven much later."
IF a voice assistant is activated with a specific phrase,", THEN turn off the hood after a specified amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turn off the hood after a while."
IF a voice assistant is activated with a specific phrase,", THEN turn off the hood after a large amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turn off the hood after a fixed delay."
IF a voice assistant is activated with a specific phrase,", THEN turn off the hood without delay."
IF a voice assistant is activated with a specific phrase,", THEN turn off the hood after several hours."
IF a voice assistant is activated with a specific phrase,", THEN turn off the hood after a defined period ."
IF a voice assistant is activated with a specific phrase,", THEN turn off the hood immediately."
IF a voice assistant is activated with a specific phrase,", THEN turn off the hood much later."
IF a voice assistant is activated with a specific phrase,", THEN stop the hood after a specified amount of time."
IF a voice assistant is activated with a specific phrase,", THEN stop the hood after a while."
IF a voice assistant is activated with a specific phrase,", THEN stop the hood after a large amount of time."
IF a voice assistant is activated with a specific phrase,", THEN stop the hood after a fixed delay."
IF a voice assistant is activated with a specific phrase,", THEN stop the hood without delay."
IF a voice assistant is activated with a specific phrase,", THEN stop the hood after several hours."
IF a voice assistant is activated with a specific phrase,", THEN stop the hood after a defined period ."
IF a voice assistant is activated with a specific phrase,", THEN stop the hood immediately."
IF a voice assistant is activated with a specific phrase,", THEN stop the hood much later."
IF a voice assistant is activated with a specific phrase,", THEN deactivate the hood after a specified amount of time."
IF a voice assistant is activated with a specific phrase,", THEN deactivate the hood after a while."
IF a voice assistant is activated with a specific phrase,", THEN deactivate the hood after a large amount of time."
IF a voice assistant is activated with a specific phrase,", THEN deactivate the hood after a fixed delay."
IF a voice assistant is activated with a specific phrase,", THEN deactivate the hood without delay."
IF a voice assistant is activated with a specific phrase,", THEN deactivate the hood after several hours."
IF a voice assistant is activated with a specific phrase,", THEN deactivate the hood after a defined period ."
IF a voice assistant is activated with a specific phrase,", THEN deactivate the hood immediately."
IF a voice assistant is activated with a specific phrase,", THEN deactivate the hood much later."
IF a voice assistant is activated with a specific phrase,", THEN stopped the hood after a specified amount of time."
IF a voice assistant is activated with a specific phrase,", THEN stopped the hood after a while."
IF a voice assistant is activated with a specific phrase,", THEN stopped the hood after a large amount of time."
