id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory
ARmYqL3s,Android Device,Disconnects from a specific WiFi network,This Trigger fires every time your Android device disconnects from a WiFi network you specify.,Nature Remo,Turn off air conditioner,This action will turn off your air conditioner.Note: Please use the Control home appliances actions for the button registered by learning mode.,Air/Climate
AzWs4wF6,Apilio,Receive an event from Apilio,This trigger fires every time IFTTT receives a specific event from Apilio.,AC Cloud Control,Turn on A/C,This Action will turn your IntesisHome A/C on.,Air/Climate
B4Emq67S,Google Calendar,Event from search starts,"This Trigger fires a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase. The search looks at the event’s Title, Description, and Location.",AC Cloud Control,Turn on A/C,This Action will turn your IntesisHome A/C on.,Air/Climate
B7nyHUWL,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Nature Remo,Turn off air conditioner,This action will turn off your air conditioner.Note: Please use the Control home appliances actions for the button registered by learning mode.,Air/Climate
BNekJ5dj,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Nature Remo,Turn off air conditioner,This action will turn off your air conditioner.Note: Please use the Control home appliances actions for the button registered by learning mode.,Air/Climate
BWTf6uBz,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Daikin Online Controller,Turn AC unit off,This Action will turn off your Daikin AC unit. It will be executed within 1 minute.,Air/Climate
BWa6PZtb,Location,You exit an area,This Trigger fires every time you exit an area you specify.,AC Cloud Control,Execute scene,This Action will execute the indicated scene.,Air/Climate
BtaTxjAR,Android Device,Connects to a specific WiFi network,This Trigger fires every time your Android device connects to a WiFi network you specify.,AC Cloud Control,Execute scene,This Action will execute the indicated scene.,Air/Climate
CHVTLj8i,Android Device,Connects to a specific WiFi network,This Trigger fires every time your Android device connects to a WiFi network you specify.,Ambi Climate,Run your A/C in comfort mode,"This Action will turn on your A/C in the specified room, and run it in Comfort mode.",Air/Climate
D2xWMeyF,Weather Underground,Current condition changes to,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",AC Cloud Control,Turn off A/C,This Action will turn your IntesisHome A/C off.,Air/Climate
D874rJ6k,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Nature Remo,Turn off air conditioner,"This action will turn off your air conditioner.

Note: Please use the Control home appliances actions for the button registered by learning mode.",Air/Climate
DWuvG2Pd,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,Levoit Air Purifier,Turn on air purifier,This action turns on your air purifier.,Air/Climate
F3EAXWUz,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Nature Remo,Turn off air conditioner,"This action will turn off your air conditioner.

Note: Please use the Control home appliances actions for the button registered by learning mode.",Air/Climate
FJK85HCz,HAVEN IAQ,PM2.5 threshold is crossed ,This Trigger fires whenever the measured Particulate Matter of 2.5 microns in size (PM2.5) is above or below the threshold.,Levoit Air Purifier,Turn off air purifier,This action turns off your air purifier.,Air/Climate
HE8cmT9p,Location,You exit an area,This Trigger fires every time you exit an area you specify.,AC Cloud Control,Execute scene,This Action will execute the indicated scene.,Air/Climate
