id,triggerDesc,actionDesc,deviceCategory
1DW5W8I_,WHEN global air pollution is higher than 50,", THEN turn a wemo switch on",Generic/Other
3YTfci83,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights",Light
5WNCtNZz,WHEN every time a motion event is detected,", THEN make your lights quickly blink the color of your choice",Light
6HyirEwt,WHEN every time you exit an area you specify,", THEN turn off your hue lights",Light
8gGhZ9wx,WHEN every time your lock is unlocked by a specific person,", THEN turn your lights on",Light
9EW9URq7,WHEN every time an audio event is detected,", THEN make your lights quickly blink the color of your choice",Light
A2DB4FNG,WHEN a door is opened,", THEN adjust multiple lights and shades together by activating a scene created in the lutron app",Light
A2ZKRg8b,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
A2u683DJ,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
A38DaCHK,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
A38TqjpD,WHEN every time you exit an area you specify,", THEN start your robot",Generic/Other
A3fZ6aAT,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn off your hue lights",Light
A3g4ekb6,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn on a slow color loop effect for your hue lights",Light
A3q48iQs,WHEN only on specific days of the week at the time you provide,", THEN set a scene on your hue lights",Light
A3ym4kb5,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
A4DvBmKV,WHEN Aura detects motion,", THEN set your aura to away scene",Light
A4cJthQn,WHEN the scene is changed to the selected scene,", THEN set your aura to home scene",Light
A52C697K,WHEN a selected member arrives,", THEN set your aura to home scene",Light
A5DdU3ZE,WHEN only on specific days of the week at the time you provide,", THEN dim or brighten your hue lights to a value between 0-100",Light
A5VMhJeT,WHEN Aura detects motion when set to Night scene,", THEN set your aura to away scene",Light
A5drfBcq,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights",Light
A5jNHCxK,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
A5zLvJwg,WHEN every time you enter an area you specify,", THEN set a nest thermostat to the temperature you specify",Thermostat/Heating
A5zWnYxF,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn off your hue lights",Light
A6CtVpk9,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
A6SgmbpQ,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
A6cDE4bF,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN close the garage door you specify",Generic/Other
A6qvcEi8,WHEN every time IFTTT receives a specific event from Apilio,", THEN cancel standby mode on the selected heatmiser thermostat",Thermostat/Heating
A7LWsG4c,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights",Light
A7isx4kY,WHEN every time someone unlocks the door with Auto Unlock,", THEN turn on your hue lights",Light
A7tPkTBb,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo maker on for 300 milliseconds",Generic/Other
A85XkGNu,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
A8XrtVGL,WHEN every time you miss a phone call on your Android device,", THEN change the color of your hue lights",Light
A8rbGJMn,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
A9fx5DnX,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene",Light
A9ws8SY2,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
AA5CbnP8,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights",Light
AAP7vVCc,WHEN every time a new track is added to a playlist you specify,", THEN turn on a slow color loop effect for your hue lights",Light
AAWYwkZu,WHEN only on specific days of the week at the time you provide,", THEN change the color of your hue lights",Light
AAbDUHBF,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
AAc7g5Cw,WHEN every time a motion is detected at the given doorbell,", THEN turn a wemo light switch on",Light
ABCWe6jE,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights",Light
ABVQacds,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights",Light
ACR39WqA,WHEN Aura detects motion,", THEN set your aura to night scene",Light
ACcTwiNX,WHEN every time an audio event is detected,", THEN briefly turn your hue lights off THEN back on",Light
ACfdYDJV,WHEN a selected member arrives,", THEN set your aura to away scene",Light
AD9dfszG,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
ADA9KW6s,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
ADChicv9,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
ADU23fHT,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights",Light
ADawUGV9,WHEN every time your alarm goes off,", THEN turn your lights on",Light
AEDLSMPu,WHEN every time the thermostat you specify is set to a certain heating mode,", THEN turn off your hue lights",Light
AEZANmHf,WHEN every time you create a new plain text status message on Facebook,", THEN briefly turn your hue lights off THEN back on",Light
AFCths9y,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
AFxjWyvk,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
AGJTrnc5,WHEN every time you press the button,", THEN provide comfort feedback for the device that you specified",Air/Climate
AGZSjuia,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
AGeAzKVj,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
AHndUYv2,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
AHs9fKwr,WHEN every time the carbon dioxide rises above a value you specify,", THEN briefly turn your hue lights off THEN back on",Light
AHzxL2WZ,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
AJPrv7BN,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your hue lights",Light
AJk2EvxN,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene",Light
AKBSTQM3,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
AKQbDx4B,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
AKaQ2rzh,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set a scene on your hue lights",Light
AKaynHv7,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
AKwbhFYS,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
AMBpjRPA,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
AMHujS7k,WHEN every time you exit an area you specify,", THEN set a nest thermostat to the temperature you specify",Thermostat/Heating
AMgqvbsp,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
AMp7q6ix,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
ANGCFaWf,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN activate the specified scene",Generic/Other
ANLPHbva,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
ANh4bs7A,WHEN every time your Android device connects to a WiFi network you specify,", THEN turn on your hue lights",Light
ANhzBciV,WHEN Aura detects motion,", THEN set your aura to away scene",Light
APCsKX5h,WHEN every single day at a specific time set by you,", THEN turn off your hue lights",Light
APGDAqLc,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN toggle your hue lights on or off",Light
APGh9j8t,WHEN every single day at a specific time set by you,", THEN turn on your hue lights",Light
APLuctgD,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN open the garage door you specify",Generic/Other
APNVrCA4,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other
APqrAkKn,WHEN it's time for prayer,", THEN set your lights to a pre-defined scene",Light
APtHWngD,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set the thermostat into an indefinite hold with the specified temperature",Thermostat/Heating
AQ5EKa6d,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn on the device/group of your choosing",Generic/Other
AQUGFjhs,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights",Light
AQdb5TyX,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
AR5kLZQa,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene",Light
AR7YdFHS,WHEN every time you press the button,", THEN turn on a device",Generic/Other
ARGQMBSz,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to night scene",Light
AS8EeHrQ,WHEN every time IFTTT receives a specific event from Apilio,", THEN switch off your light",Light
ASDqQHbT,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
ASgXEVUY,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN close the garage door you specify",Generic/Other
ASkuhiT3,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
AT5JWHUj,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
ATBwhWu9,WHEN a selected member leaves,", THEN set your aura to home scene",Light
ATLi4n6E,WHEN every time you exit an area you specify,", THEN turn off your hue lights",Light
AUEDFzH4,WHEN every time you add an item to your To Do List,", THEN set a nest thermostat to the temperature you specify",Thermostat/Heating
AUNvQTzr,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene",Light
AUR3nXYD,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
AUSEB7md,WHEN a selected member arrives,", THEN set your aura to away scene",Light
AUVqwjZt,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN set the heating mode to schedule",Thermostat/Heating
AUXMyiRP,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
AUZPR8qC,WHEN a selected member arrives,", THEN set your aura to home scene",Light
AUjmuPKG,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
AVZpi8za,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
AVvgi6kB,WHEN time-of-day peak rates start or end,", THEN change the color of your hue lights",Light
AWwtqavH,WHEN only on specific days of the week at the time you provide,", THEN dim or brighten your hue lights to a value between 0-100",Light
AWyj2Qux,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
AX4pPEws,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
AXRT2GZt,WHEN every time a specific user you are subscribed to makes a new video public,", THEN set your lights to a specified brightness",Light
AXUxpiuN,WHEN Aura detects motion,", THEN set your aura to guardian scene",Light
AXzNy2Sw,WHEN the scene is changed to the selected scene,", THEN set your aura to home scene",Light
AYqc9QAC,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
AZC5FEgP,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
AZDwAHQv,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
Aa3Q5rqD,WHEN every time the carbon dioxide rises above a value you specify,", THEN change the color of your hue lights",Light
Aa5jTUhH,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your lights",Light
AaE48KDn,WHEN Aura detects motion when set to Night scene,", THEN set your aura to away scene",Light
AaLAEC9J,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
AafhQkq7,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
Aap28etM,WHEN only on specific days of the week at the time you provide,", THEN change the color of your hue lights",Light
AarHLfjz,WHEN only on specific days of the week at the time you provide,", THEN turn on your hue lights",Light
AbBaA8iM,WHEN every time you enter an area you specify,", THEN turn on your hue lights",Light
AbDdF6VU,WHEN every single day at a specific time set by you,", THEN turn off your hue lights",Light
Ac6JVmgY,WHEN every time you enter an area you specify,", THEN turn on your hue lights",Light
AdUbMn2L,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN toggle a device",Generic/Other
AdVLxpTP,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
Ae9nkN87,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
AeSqi5Pp,WHEN a selected member arrives,", THEN set your aura to away scene",Light
AeZb2A7T,WHEN only on specific days of the week at the time you provide,", THEN turn your lights on",Light
Aec7Bz6y,WHEN a selected member arrives,", THEN set your aura to away scene",Light
AeihB6Uy,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
AeqA6Ssi,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set a nest thermostat to the temperature you specify",Thermostat/Heating
AgFwB9Pr,WHEN only on specific days of the week at the time you provide,", THEN change the color of your hue lights",Light
AgHfGSXh,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
AgUkYuy5,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
AgWipwR7,WHEN there is a new Super Chat message in a live chat during a live stream on your channel,", THEN set your lights to a pre-defined scene",Light
Agcam7BC,WHEN every single day at a specific time set by you,", THEN briefly turn your hue lights off THEN back on",Light
Agj4Eb8P,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
AgwL9r8D,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other
Ah475DWU,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
AhLEuq7v,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
Ai3fQzcX,WHEN only on specific days of the week at the time you provide,", THEN turn off the device/group of your choosing",Generic/Other
AiJ9TnhR,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
AitN8Hz7,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
Ajn7FwhY,WHEN every time your WeMo Light Switch is turned on or off with a long press over two seconds,", THEN toggle a wemo light switch on or off",Light
AkFKhmpg,WHEN Aura detects motion,", THEN set your aura to away scene",Light
AkUXNwMf,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
AkqidrLc,WHEN once a year on the date and time you specify,", THEN change the color of your hue lights",Light
AmBEfdbL,WHEN every single day at a specific time set by you,", THEN trigger the specified bot to turn off the switch",Generic/Other
AmbzHKLp,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
AmgjfuNK,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
AmqFPYTf,WHEN Aura detects motion,", THEN set your aura to away scene",Light
Amwyg5hE,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN toggle a wemo switch on or off",Generic/Other
An7HzULt,WHEN a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase,", THEN toggle a wemo light switch on or off",Light
AnBTcP9r,WHEN a selected member arrives,", THEN set your aura to away scene",Light
AnEfBuAQ,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
AnHk7m4W,WHEN a selected member arrives,", THEN set your aura to away scene",Light
AnHuK6ds,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn on your hue lights",Light
AnNR4x5P,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
ApGQbsTH,WHEN every time a song is played on Amazon Prime Music,", THEN change your hue lights to a randomly selected color",Light
ApZFzHnY,WHEN within 15 minutes of the sunset in your location,", THEN dim or brighten your hue lights to a value between 0-100",Light
ApdiLaGz,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
Apm4j6Ht,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
Aq6jAcvx,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
AqETextw,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene",Light
AqvK8cmU,WHEN Aura detects motion when set to Night scene,", THEN set your aura to guardian scene",Light
AqwiJumx,WHEN a selected member arrives,", THEN set your aura to home scene",Light
ArAi57ps,WHEN every time your WeMo Motion sensor detects new motion,", THEN turn on your hue lights",Light
ArDu8Ae6,WHEN a selected member arrives,", THEN set your aura to away scene",Light
ArxFJkTz,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN briefly turn your hue lights off THEN back on",Light
ArxPp4Gm,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
As79cQnN,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
AsNM6AEh,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn off your hue lights",Light
AsfZEF6G,WHEN within 15 minutes of the sunset in your location,", THEN turn on, turn off or toggle your lights",Light
At8TfAKY,WHEN Aura detects motion,", THEN set your aura to away scene",Light
AtW5aXiB,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
AtbJU3TY,WHEN a selected member arrives,", THEN set your aura to home scene",Light
Au4fSU82,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your hue lights",Light
AuCDxmvw,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
Av3xNKsT,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN change your hue lights to a randomly selected color",Light
Av7kMX46,WHEN every time your WeMo Insight Switch is turned off,", THEN turn a wemo insight switch on",Generic/Other
AvzGuqxH,WHEN every single day at a specific time set by you,", THEN turn on/off the led light of my projector",Light
AwQ48JXh,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
AwShMELC,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
AwSzLFDe,WHEN every time the temperature drops below a threshold you specify,", THEN set a nest thermostat to the temperature you specify",Thermostat/Heating
AwiThzHd,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch on",Generic/Other
AxjgsfqY,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
AydaS5vg,WHEN every time a song is played on Amazon Prime Music,", THEN change your hue lights to a randomly selected color",Light
AzWs4wF6,WHEN every time IFTTT receives a specific event from Apilio,", THEN turn your intesishome a/c on",Air/Climate
Azdk82sc,WHEN a selected member leaves,", THEN set your aura to guardian scene",Light
AziDUSpk,WHEN every time you add an item to your To Do List,", THEN change the color of your hue lights",Light
AzrCXFLE,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
B2CH84cU,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn off a selected device",Generic/Other
B2TMR6FE,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other
B2dhR5zM,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
B37JEXyQ,WHEN a selected member arrives,", THEN set your aura to away scene",Light
B46X5vTh,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN changes the brightness level of the selected wemo light",Light
B4PgLyeD,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
B4VdiegD,WHEN every time your WeMo Light Switch is turned on or off with a long press over two seconds,", THEN toggle a wemo light switch on or off",Light
B4iyYkF6,WHEN a selected member arrives,", THEN set your aura to away scene",Light
B4jDBXEd,WHEN every time the home you specify is set to Away,", THEN turn off your hue lights",Light
B4mfBX9x,WHEN every time the temperature drops below a value you specify,", THEN turn a wemo switch on",Generic/Other
B4yZWnQr,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn on a slow color loop effect for your hue lights",Light
B6K54UD8,WHEN only on specific days of the week at the time you provide,", THEN turn on your hue lights",Light
B6MB4gXv,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
B6MpcFt8,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
B6nzNyst,WHEN there is a new Super Chat message in a live chat during a live stream on your channel,", THEN set your lights to a specified brightness",Light
B6tMGA43,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
B7JHid2r,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
