triggerDesc,isTriggerEco,actionDesc,freeOrLocked,isActionEco,isRuleEco
IF a smart device is switched off,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
