triggerDesc,actionDesc,freeOrLocked,isTriggerEco,isActionEco,isRuleEco
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN enable the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specific room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn off eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to eco.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to eco.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to eco.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to eco.",FREE,NEUTRAL,ECO,ECO
